Id,outlier_feature,feature_value,p99_threshold,SalePrice,GrLivArea,LotArea,TotalBsmtSF,1stFlrSF,GarageArea,OverallQual,Neighborhood
265,PoolArea,0.0,0.0,73000,764,5232,680,764,504,5,OldTown
269,PoolArea,0.0,0.0,120500,778,6900,740,778,924,5,IDOTRR
275,PoolArea,0.0,0.0,124500,816,8314,816,816,264,5,Mitchel
288,PoolArea,0.0,0.0,88000,858,8125,858,858,0,4,NAmes
289,PoolArea,0.0,0.0,122000,900,9819,882,900,280,5,Sawyer
308,PoolArea,0.0,0.0,89500,1406,7920,319,1035,0,6,IDOTRR
309,PoolArea,0.0,0.0,82500,861,12342,861,861,539,4,Edwards
313,PoolArea,0.0,0.0,119900,1118,7800,793,793,410,5,OldTown
324,PoolArea,0.0,0.0,126175,1163,5820,1162,1163,220,3,OldTown
326,PoolArea,0.0,0.0,87000,803,5000,720,803,360,5,IDOTRR
330,PoolArea,0.0,0.0,78000,1192,6402,596,596,189,5,IDOTRR
331,PoolArea,0.0,0.0,119000,1728,10624,1728,1728,352,5,NAmes
342,PoolArea,0.0,0.0,82000,841,8400,721,841,294,4,SawyerW
343,PoolArea,0.0,0.0,87500,1040,8544,0,1040,400,3,NAmes
345,PoolArea,0.0,0.0,85000,1112,2592,536,536,336,5,MeadowV
353,PoolArea,0.0,0.0,95000,1111,9084,616,616,200,5,Edwards
354,PoolArea,0.0,0.0,105900,720,8520,624,720,484,6,OldTown
364,PoolArea,0.0,0.0,118000,987,1680,483,483,264,6,BrDale
373,PoolArea,0.0,0.0,125000,752,7175,744,752,264,6,SawyerW
374,PoolArea,0.0,0.0,123000,1319,10634,608,1319,270,5,NAmes
376,PoolArea,0.0,0.0,61000,904,10020,683,904,0,1,Edwards
381,PoolArea,0.0,0.0,127000,1691,5000,1026,1026,308,5,SWISU
384,PoolArea,0.0,0.0,76000,784,9000,784,784,360,6,SawyerW
387,PoolArea,0.0,0.0,81000,1184,8410,658,658,0,5,Edwards
388,PoolArea,0.0,0.0,125000,1125,7200,1041,1125,352,6,Edwards
391,PoolArea,0.0,0.0,119000,1367,8405,861,961,384,5,Edwards
393,PoolArea,0.0,0.0,106500,882,8339,0,882,294,5,NAmes
394,PoolArea,0.0,0.0,100000,788,7446,788,788,0,4,BrkSide
395,PoolArea,0.0,0.0,109000,1034,10134,735,735,240,5,OldTown
396,PoolArea,0.0,0.0,129000,1144,9571,1144,1144,596,5,Edwards
397,PoolArea,0.0,0.0,123000,894,7200,894,894,600,5,CollgCr
399,PoolArea,0.0,0.0,67000,1077,8967,961,1077,338,5,IDOTRR
403,PoolArea,0.0,0.0,108000,672,10200,672,672,240,5,Sawyer
407,PoolArea,0.0,0.0,115000,1639,10480,1064,1166,240,6,SWISU
411,PoolArea,0.0,0.0,60000,1276,9571,1276,1276,350,5,Edwards
414,PoolArea,0.0,0.0,115000,1028,8960,1008,1028,360,5,OldTown
419,PoolArea,0.0,0.0,126000,1134,8160,756,756,240,5,Edwards
423,PoolArea,0.0,0.0,113000,988,21750,988,988,520,5,Mitchel
428,PoolArea,0.0,0.0,109008,907,8593,907,907,352,4,NAmes
431,PoolArea,0.0,0.0,85400,987,1680,483,483,264,6,BrDale
432,PoolArea,0.0,0.0,79900,1198,5586,901,1088,0,6,OldTown
433,PoolArea,0.0,0.0,122500,1365,1920,765,765,440,5,BrDale
435,PoolArea,0.0,0.0,81000,630,1890,630,630,0,4,MeadowV
437,PoolArea,0.0,0.0,116000,1118,4400,648,734,440,6,OldTown
438,PoolArea,0.0,0.0,119000,904,6000,884,904,180,6,BrkSide
439,PoolArea,0.0,0.0,90350,694,4280,440,694,352,5,Crawfor
440,PoolArea,0.0,0.0,110000,1196,12354,684,684,528,6,Edwards
442,PoolArea,0.0,0.0,118000,1440,12108,1440,1440,0,4,Edwards
446,PoolArea,0.0,0.0,127500,1689,9855,1436,1689,480,6,Edwards
449,PoolArea,0.0,0.0,119500,1376,8600,780,780,198,6,IDOTRR
450,PoolArea,0.0,0.0,120000,1183,6000,649,679,308,3,OldTown
451,PoolArea,0.0,0.0,110000,813,5684,813,813,270,6,OldTown
457,PoolArea,0.0,0.0,98000,1344,4571,624,624,513,5,OldTown
460,PoolArea,0.0,0.0,110000,1203,7015,709,979,352,5,BrkSide
463,PoolArea,0.0,0.0,62383,864,8281,864,864,360,5,Sawyer
465,PoolArea,0.0,0.0,124000,1040,8430,1040,1040,0,5,CollgCr
480,PoolArea,0.0,0.0,89471,1131,5925,907,1131,672,4,OldTown
490,PoolArea,0.0,0.0,86000,630,1526,630,630,286,4,MeadowV
491,PoolArea,0.0,0.0,115000,1304,2665,264,616,336,5,MeadowV
495,PoolArea,0.0,0.0,91300,886,5784,190,886,273,5,OldTown
496,PoolArea,0.0,0.0,34900,720,7879,720,720,0,4,IDOTRR
500,PoolArea,0.0,0.0,120000,912,7535,912,912,297,5,NAmes
501,PoolArea,0.0,0.0,113000,1218,1890,672,672,264,6,BrDale
506,PoolArea,0.0,0.0,124500,1960,7596,960,960,400,5,OldTown
510,PoolArea,0.0,0.0,124500,1041,9600,1041,1041,270,5,NAmes
513,PoolArea,0.0,0.0,129900,864,9100,864,864,624,5,NAmes
515,PoolArea,0.0,0.0,96500,789,10594,768,789,200,5,Crawfor
521,PoolArea,0.0,0.0,106250,1294,10800,0,694,0,4,OldTown
529,PoolArea,0.0,0.0,86000,605,9098,528,605,0,4,Edwards
532,PoolArea,0.0,0.0,128000,1362,6155,611,751,502,6,BrkSide
533,PoolArea,0.0,0.0,107500,827,7200,0,827,392,5,NAmes
534,PoolArea,0.0,0.0,39300,334,5000,0,334,0,1,BrkSide
536,PoolArea,0.0,0.0,107500,1347,7000,1117,820,0,5,Edwards
538,PoolArea,0.0,0.0,111250,864,12735,864,864,576,4,NAmes
548,PoolArea,0.0,0.0,129500,768,7244,768,768,624,5,Mitchel
549,PoolArea,0.0,0.0,125000,825,8235,825,825,720,5,OldTown
552,PoolArea,0.0,0.0,112500,928,6000,928,928,288,5,OldTown
554,PoolArea,0.0,0.0,108000,1126,8777,0,1126,520,4,Edwards
556,PoolArea,0.0,0.0,113000,1048,6380,993,1048,280,5,BrkSide
558,PoolArea,0.0,0.0,108000,1336,11040,637,897,570,4,IDOTRR
561,PoolArea,0.0,0.0,121500,1392,11341,1392,1392,528,5,Sawyer
563,PoolArea,0.0,0.0,108000,996,13907,996,996,0,5,Edwards
566,PoolArea,0.0,0.0,128000,1647,6858,806,841,216,6,SWISU
572,PoolArea,0.0,0.0,120000,864,7332,864,864,288,6,NAmes
576,PoolArea,0.0,0.0,118500,1216,8480,832,832,336,5,NAmes
583,PoolArea,0.0,0.0,118500,816,11841,816,816,0,6,Edwards
590,PoolArea,0.0,0.0,79500,935,9100,742,779,308,5,BrkSide
595,PoolArea,0.0,0.0,110000,924,7990,924,924,280,5,CollgCr
597,PoolArea,0.0,0.0,114504,1368,3600,684,684,216,6,OldTown
610,PoolArea,0.0,0.0,118500,1029,7943,1029,1029,261,4,Sawyer
615,PoolArea,0.0,0.0,75500,630,1491,630,630,0,4,MeadowV
618,PoolArea,0.0,0.0,105500,832,7227,832,832,528,6,NAmes
621,PoolArea,0.0,0.0,67000,864,8248,864,864,0,3,Edwards
631,PoolArea,0.0,0.0,124000,1750,9000,636,1089,240,5,OldTown
633,PoolArea,0.0,0.0,82500,1411,11900,1386,1411,544,7,NWAmes
637,PoolArea,0.0,0.0,60000,800,6120,264,800,0,2,BrkSide
638,PoolArea,0.0,0.0,93000,1387,6000,811,811,256,5,OldTown
639,PoolArea,0.0,0.0,85000,796,8777,796,796,0,5,Edwards
647,PoolArea,0.0,0.0,98300,1048,7200,0,1048,420,5,NAmes
650,PoolArea,0.0,0.0,84500,630,1936,630,630,0,4,MeadowV
652,PoolArea,0.0,0.0,108000,1510,9084,755,755,296,4,Edwards
656,PoolArea,0.0,0.0,88000,1092,1680,525,525,264,6,BrDale
659,PoolArea,0.0,0.0,97500,1458,17503,912,912,330,6,NAmes
663,PoolArea,0.0,0.0,110000,1392,13560,1392,1392,576,6,NAmes
667,PoolArea,0.0,0.0,129000,2380,18450,1021,1465,596,6,NAmes
672,PoolArea,0.0,0.0,103600,1369,6629,672,697,300,6,Edwards
677,PoolArea,0.0,0.0,87000,1774,9600,1095,1095,779,4,OldTown
678,PoolArea,0.0,0.0,109500,792,9022,768,792,240,5,OldTown
680,PoolArea,0.0,0.0,128500,988,9945,988,988,572,5,Sawyer
694,PoolArea,0.0,0.0,108480,1073,5400,1073,1073,326,5,OldTown
697,PoolArea,0.0,0.0,89000,616,6000,616,616,205,5,BrkSide
698,PoolArea,0.0,0.0,123500,1148,6420,980,1148,308,5,Edwards
706,PoolArea,0.0,0.0,55000,1092,5600,0,372,0,4,IDOTRR
710,PoolArea,0.0,0.0,109900,904,7162,876,904,408,5,Sawyer
711,PoolArea,0.0,0.0,52000,729,4130,270,729,0,3,BrkSide
712,PoolArea,0.0,0.0,102776,1178,8712,859,859,384,4,IDOTRR
714,PoolArea,0.0,0.0,129000,960,9873,960,960,576,4,BrkSide
720,PoolArea,0.0,0.0,128500,971,9920,971,971,300,5,CollgCr
723,PoolArea,0.0,0.0,124500,864,8120,864,864,463,4,NAmes
726,PoolArea,0.0,0.0,120500,864,6960,864,864,660,4,NAmes
729,PoolArea,0.0,0.0,110000,1776,11475,1584,1776,888,5,NAmes
730,PoolArea,0.0,0.0,103000,1208,6240,780,848,539,4,IDOTRR
735,PoolArea,0.0,0.0,108000,948,8978,948,948,300,5,Sawyer
737,PoolArea,0.0,0.0,93500,1040,8544,0,1040,400,3,NAmes
750,PoolArea,0.0,0.0,98000,1529,8405,0,1088,240,4,Edwards
751,PoolArea,0.0,0.0,96500,1140,8800,576,792,0,4,OldTown
761,PoolArea,0.0,0.0,127500,864,9100,864,864,300,6,NAmes
762,PoolArea,0.0,0.0,100000,1301,6911,1145,1301,440,5,BrkSide
772,PoolArea,0.0,0.0,102000,1220,8877,836,1220,396,4,Edwards
773,PoolArea,0.0,0.0,107000,1117,7819,1029,1117,672,6,Edwards
774,PoolArea,0.0,0.0,114500,912,10150,912,912,275,5,NAmes
785,PoolArea,0.0,0.0,128000,1484,6300,742,742,0,6,OldTown
789,PoolArea,0.0,0.0,107900,901,6000,901,901,281,4,OldTown
798,PoolArea,0.0,0.0,110000,773,7677,773,773,240,5,NAmes
802,PoolArea,0.0,0.0,109900,1196,4800,1196,1196,440,4,IDOTRR
805,PoolArea,0.0,0.0,118000,1128,9000,936,1128,286,5,NAmes
810,PoolArea,0.0,0.0,106000,2138,8100,849,1075,360,5,OldTown
813,PoolArea,0.0,0.0,55993,1044,8712,540,1044,504,5,IDOTRR
815,PoolArea,0.0,0.0,116000,1250,8248,686,686,280,5,Edwards
822,PoolArea,0.0,0.0,93000,936,6000,936,936,576,4,OldTown
827,PoolArea,0.0,0.0,109500,784,6130,784,784,0,5,BrkSide
836,PoolArea,0.0,0.0,128000,1067,9600,1067,1067,436,4,Sawyer
838,PoolArea,0.0,0.0,100000,987,1680,483,483,264,6,BrDale
856,PoolArea,0.0,0.0,127000,1040,6897,1040,1040,260,5,Sawyer
868,PoolArea,0.0,0.0,129000,1120,6970,1040,1120,544,4,Sawyer
871,PoolArea,0.0,0.0,109500,894,6600,894,894,308,5,NAmes
873,PoolArea,0.0,0.0,116000,910,8892,105,910,414,5,NAmes
875,PoolArea,0.0,0.0,66500,1131,5720,676,676,200,5,OldTown
884,PoolArea,0.0,0.0,118500,2230,6204,795,954,440,4,SWISU
885,PoolArea,0.0,0.0,100000,892,7150,892,892,288,5,NAmes
891,PoolArea,0.0,0.0,122900,924,8064,672,672,576,5,NAmes
895,PoolArea,0.0,0.0,118858,1535,7018,0,1535,400,5,SawyerW
897,PoolArea,0.0,0.0,106500,951,8765,951,951,327,4,IDOTRR
901,PoolArea,0.0,0.0,110000,858,7340,858,858,684,4,NAmes
905,PoolArea,0.0,0.0,125500,902,6173,876,902,288,5,Sawyer
906,PoolArea,0.0,0.0,128000,1063,9920,1056,1063,280,5,NAmes
913,PoolArea,0.0,0.0,88000,1015,6120,768,1015,450,5,BrkSide
916,PoolArea,0.0,0.0,75000,1092,2001,546,546,286,4,MeadowV
917,PoolArea,0.0,0.0,35311,480,9000,480,480,308,2,IDOTRR
932,PoolArea,0.0,0.0,117500,925,9100,925,925,429,5,NAmes
936,PoolArea,0.0,0.0,79900,747,5825,600,747,528,4,BrkSide
946,PoolArea,0.0,0.0,124900,1869,8820,1088,1188,456,5,OldTown
951,PoolArea,0.0,0.0,129000,864,7200,864,864,720,5,NAmes
952,PoolArea,0.0,0.0,119900,965,7800,828,965,300,5,SawyerW
955,PoolArea,0.0,0.0,127500,980,9400,945,980,0,6,Edwards
957,PoolArea,0.0,0.0,124000,1229,1300,561,561,462,6,Blueste
961,PoolArea,0.0,0.0,116500,858,7207,858,858,0,5,BrkSide
969,PoolArea,0.0,0.0,37900,968,5925,600,600,0,3,OldTown
973,PoolArea,0.0,0.0,99500,918,7892,918,918,264,6,SawyerW
977,PoolArea,0.0,0.0,85500,869,5900,440,869,0,4,BrkSide
979,PoolArea,0.0,0.0,110000,894,9450,894,894,400,4,Edwards
985,PoolArea,0.0,0.0,126000,1734,10125,0,1302,539,5,Mitchel
986,PoolArea,0.0,0.0,125000,1164,10880,1164,1164,240,5,Edwards
987,PoolArea,0.0,0.0,117000,1635,5310,485,1001,255,6,OldTown
996,PoolArea,0.0,0.0,121600,1230,4712,747,774,305,4,BrkSide
999,PoolArea,0.0,0.0,91000,1077,9786,1007,1077,210,3,IDOTRR
1001,PoolArea,0.0,0.0,82000,944,10206,0,944,528,3,Edwards
1002,PoolArea,0.0,0.0,86000,691,5400,691,691,216,5,OldTown
1008,PoolArea,0.0,0.0,88000,1092,2217,546,546,286,4,MeadowV
1010,PoolArea,0.0,0.0,102000,1522,6000,1008,1008,0,5,SWISU
1012,PoolArea,0.0,0.0,100000,1664,9825,0,1664,0,5,Edwards
1014,PoolArea,0.0,0.0,85000,1022,7200,1022,1022,280,5,OldTown
1015,PoolArea,0.0,0.0,119200,1082,11664,1082,1082,240,6,NAmes
1023,PoolArea,0.0,0.0,87000,1248,9439,912,912,160,5,OldTown
1026,PoolArea,0.0,0.0,112500,882,7700,882,882,461,5,CollgCr
1029,PoolArea,0.0,0.0,105000,1376,9492,768,968,240,5,NAmes
1030,PoolArea,0.0,0.0,118000,1218,1680,672,672,264,6,BrDale
1035,PoolArea,0.0,0.0,119750,954,6305,920,954,240,5,Crawfor
1036,PoolArea,0.0,0.0,84000,845,11500,0,845,290,4,Edwards
1039,PoolArea,0.0,0.0,97000,1344,1533,546,798,0,4,MeadowV
1040,PoolArea,0.0,0.0,80000,630,1477,630,630,286,4,MeadowV
1049,PoolArea,0.0,0.0,115000,1771,21750,0,1771,336,5,Mitchel
1050,PoolArea,0.0,0.0,84900,930,11100,0,930,308,4,Edwards
1062,PoolArea,0.0,0.0,81000,894,18000,894,894,1248,3,IDOTRR
1063,PoolArea,0.0,0.0,90000,2337,13600,662,1422,560,5,OldTown
1064,PoolArea,0.0,0.0,110500,1103,6000,1103,1103,440,6,OldTown
1073,PoolArea,0.0,0.0,91500,1456,7585,810,1002,280,5,Edwards
1080,PoolArea,0.0,0.0,126000,990,8775,990,990,299,5,CollgCr
1087,PoolArea,0.0,0.0,83500,1092,1974,546,546,286,4,MeadowV
1091,PoolArea,0.0,0.0,92900,1040,8544,0,1040,400,3,NAmes
1095,PoolArea,0.0,0.0,129000,936,5868,936,936,308,5,NAmes
1097,PoolArea,0.0,0.0,127000,1355,6882,684,773,0,6,IDOTRR
1099,PoolArea,0.0,0.0,128000,1324,6000,672,757,240,4,BrkSide
1101,PoolArea,0.0,0.0,60000,438,8400,290,438,246,2,SWISU
1102,PoolArea,0.0,0.0,119500,950,9758,950,950,280,5,NAmes
1105,PoolArea,0.0,0.0,106000,1302,2016,630,630,440,5,BrDale
1113,PoolArea,0.0,0.0,129900,816,7100,816,816,308,5,NAmes
1115,PoolArea,0.0,0.0,117000,833,5400,833,833,326,5,OldTown
1121,PoolArea,0.0,0.0,118400,1012,8263,1012,1012,308,6,IDOTRR
1123,PoolArea,0.0,0.0,112000,960,8926,672,960,288,4,Edwards
1124,PoolArea,0.0,0.0,118000,698,9405,698,698,0,5,Edwards
1126,PoolArea,0.0,0.0,115000,1005,10434,1005,1005,672,4,NAmes
1132,PoolArea,0.0,0.0,93500,974,10712,974,974,0,5,Mitchel
1133,PoolArea,0.0,0.0,117500,2210,9900,1008,1178,205,6,OldTown
1136,PoolArea,0.0,0.0,102000,986,6180,960,986,180,6,BrkSide
1137,PoolArea,0.0,0.0,119000,1252,9600,1032,1032,288,6,NAmes
1138,PoolArea,0.0,0.0,94000,1020,6342,780,780,0,5,Sawyer
1144,PoolArea,0.0,0.0,80000,1006,9000,1006,1006,0,5,Sawyer
1145,PoolArea,0.0,0.0,80000,924,12180,672,672,280,4,Edwards
1149,PoolArea,0.0,0.0,116900,1111,5700,572,572,288,7,OldTown
1151,PoolArea,0.0,0.0,124000,932,8280,932,932,306,6,NAmes
1154,PoolArea,0.0,0.0,120500,816,5890,816,816,432,6,IDOTRR
1163,PoolArea,0.0,0.0,129000,894,8724,894,894,450,5,Sawyer
1164,PoolArea,0.0,0.0,108959,1258,12900,1198,1258,400,4,Sawyer
1177,PoolArea,0.0,0.0,119500,923,6951,876,923,264,5,Mitchel
1178,PoolArea,0.0,0.0,115000,1224,3950,818,818,210,6,OldTown
1180,PoolArea,0.0,0.0,93000,1124,8335,0,1124,0,5,Edwards
1184,PoolArea,0.0,0.0,120000,1130,10800,1120,1130,720,5,OldTown
1186,PoolArea,0.0,0.0,104900,1221,9738,784,949,392,5,Edwards
1187,PoolArea,0.0,0.0,95000,1699,10615,978,1014,420,3,OldTown
1193,PoolArea,0.0,0.0,125000,1472,9600,702,842,250,5,OldTown
1201,PoolArea,0.0,0.0,116050,864,9353,864,864,280,4,NAmes
1203,PoolArea,0.0,0.0,117000,1348,6000,884,884,216,5,BrkSide
1207,PoolArea,0.0,0.0,107000,1056,8900,1056,1056,384,4,SawyerW
1213,PoolArea,0.0,0.0,113000,672,9340,672,672,234,4,Edwards
1216,PoolArea,0.0,0.0,125000,894,7094,894,894,384,5,Sawyer
1217,PoolArea,0.0,0.0,112000,1902,8930,0,1318,539,6,Sawyer
1219,PoolArea,0.0,0.0,80500,912,6240,0,672,0,4,BrkSide
1220,PoolArea,0.0,0.0,91500,1218,1680,672,672,0,6,BrDale
1221,PoolArea,0.0,0.0,115000,912,7800,912,912,288,5,NAmes
1230,PoolArea,0.0,0.0,127000,1507,7910,1075,1507,404,5,NAmes
1233,PoolArea,0.0,0.0,101800,1224,9842,0,1224,462,4,NAmes
1249,PoolArea,0.0,0.0,129500,2058,9600,735,1134,396,6,OldTown
1250,PoolArea,0.0,0.0,119000,988,7200,876,988,276,5,NAmes
1256,PoolArea,0.0,0.0,127500,1367,6240,884,959,560,6,BrkSide
1258,PoolArea,0.0,0.0,99900,864,4060,864,864,0,5,Edwards
1262,PoolArea,0.0,0.0,128900,1050,9600,1050,1050,338,5,NAmes
1267,PoolArea,0.0,0.0,122000,1889,10120,925,964,308,7,OldTown
1280,PoolArea,0.0,0.0,68400,1128,7500,698,698,528,4,IDOTRR
1292,PoolArea,0.0,0.0,119500,1302,1680,630,630,264,5,BrDale
1293,PoolArea,0.0,0.0,107500,2372,6600,994,1378,432,5,OldTown
1295,PoolArea,0.0,0.0,115000,864,8172,864,864,572,5,Edwards
1315,PoolArea,0.0,0.0,119000,948,8190,948,948,280,4,Edwards
1320,PoolArea,0.0,0.0,111000,948,10215,864,948,248,4,Edwards
1322,PoolArea,0.0,0.0,72500,720,6627,0,720,287,3,BrkSide
1324,PoolArea,0.0,0.0,82500,708,5330,420,708,0,4,BrkSide
1326,PoolArea,0.0,0.0,55000,796,3636,796,796,0,4,IDOTRR
1327,PoolArea,0.0,0.0,79000,774,4270,544,774,0,3,Edwards
1333,PoolArea,0.0,0.0,100000,816,8877,816,816,288,4,Edwards
1334,PoolArea,0.0,0.0,125500,1360,7200,803,803,297,5,IDOTRR
1335,PoolArea,0.0,0.0,125000,1365,2368,765,765,440,5,BrDale
1338,PoolArea,0.0,0.0,52500,693,4118,693,693,0,4,OldTown
1340,PoolArea,0.0,0.0,128500,864,9560,864,864,288,5,CollgCr
1341,PoolArea,0.0,0.0,123000,872,8294,858,872,480,4,NAmes
1346,PoolArea,0.0,0.0,108500,960,6000,960,960,308,4,OldTown
1350,PoolArea,0.0,0.0,122000,2358,5250,684,938,0,8,OldTown
1357,PoolArea,0.0,0.0,110000,892,9477,864,892,264,5,NAmes
1363,PoolArea,0.0,0.0,104900,1738,12513,715,1281,368,4,NAmes
1368,PoolArea,0.0,0.0,127000,1475,2665,757,925,336,5,MeadowV
1371,PoolArea,0.0,0.0,105000,1374,5400,840,840,338,4,OldTown
1377,PoolArea,0.0,0.0,91000,790,6292,768,790,160,6,SWISU
1378,PoolArea,0.0,0.0,117000,1604,10998,984,984,660,5,Edwards
1379,PoolArea,0.0,0.0,83000,987,1953,483,483,264,6,BrDale
1381,PoolArea,0.0,0.0,58500,864,8212,864,864,200,3,Edwards
1384,PoolArea,0.0,0.0,112000,1416,25339,816,1416,576,5,Sawyer
