categorical_feature,numeric_feature,cat_eta_squared,numeric_bin_eta_squared,interaction_eta_squared,best_single_eta_squared,interaction_gain,interaction_strength,interaction_group_count,min_interaction_group_size,median_interaction_group_size,action_hint
SaleCondition,LotArea,0.1355,0.21,0.3284,0.21,0.1184,strong,27,1,18.0,strong interaction candidate
Exterior1st,1stFlrSF,0.1471,0.328,0.4461,0.328,0.1182,strong,53,1,13.0,strong interaction candidate
GarageType,MasVnrArea,0.25,0.1859,0.3677,0.25,0.1177,strong,20,1,14.5,strong interaction candidate
ExterQual,TotalBsmtSF,0.4774,0.3666,0.5949,0.4774,0.1175,strong,18,1,54.0,strong interaction candidate
BsmtQual,TotalBsmtSF,0.465,0.3666,0.5815,0.465,0.1165,strong,20,1,70.0,strong interaction candidate
BsmtQual,FullBath,0.465,0.3364,0.5814,0.465,0.1164,strong,18,1,12.0,strong interaction candidate
GarageType,GrLivArea,0.2492,0.4372,0.5525,0.4372,0.1153,strong,34,1,6.5,strong interaction candidate
Neighborhood,OpenPorchSF,0.2918,0.1662,0.4055,0.2918,0.1137,strong,33,7,26.0,strong interaction candidate
Exterior2nd,GrLivArea,0.1426,0.4372,0.5508,0.4372,0.1136,strong,55,1,10.0,strong interaction candidate
GarageType,OpenPorchSF,0.2492,0.1662,0.3608,0.2492,0.1116,strong,21,1,13.0,strong interaction candidate
Exterior2nd,FullBath,0.1426,0.3364,0.4468,0.3364,0.1104,strong,37,1,11.0,strong interaction candidate
SaleCondition,TotRmsAbvGrd,0.1355,0.2837,0.3931,0.2837,0.1094,strong,29,1,8.0,strong interaction candidate
SaleCondition,MasVnrArea,0.1337,0.1859,0.2948,0.1859,0.109,strong,17,1,15.0,strong interaction candidate
MSSubClass,GarageCars,0.2386,0.4912,0.5989,0.4912,0.1077,strong,43,1,13.0,strong interaction candidate
MSZoning,MasVnrArea,0.1078,0.1859,0.293,0.1859,0.1071,strong,13,1,23.0,strong interaction candidate
Neighborhood,MasVnrArea,0.3181,0.1859,0.4237,0.3181,0.1056,strong,32,1,27.5,strong interaction candidate
Exterior1st,FullBath,0.1471,0.3364,0.44,0.3364,0.1036,strong,36,1,10.5,strong interaction candidate
GarageFinish,MasVnrArea,0.3056,0.1859,0.4092,0.3056,0.1036,strong,12,3,98.0,strong interaction candidate
ExterQual,FullBath,0.4774,0.3364,0.5808,0.4774,0.1034,strong,14,1,11.0,strong interaction candidate
Exterior1st,OpenPorchSF,0.1471,0.1662,0.2691,0.1662,0.1029,strong,32,1,23.0,strong interaction candidate
Exterior1st,GrLivArea,0.1471,0.4372,0.5395,0.4372,0.1024,strong,55,1,14.0,strong interaction candidate
MSZoning,TotRmsAbvGrd,0.1076,0.2837,0.3825,0.2837,0.0988,strong,24,1,14.0,strong interaction candidate
Exterior2nd,TotalBsmtSF,0.1426,0.3666,0.4648,0.3666,0.0983,strong,54,1,14.5,strong interaction candidate
Exterior2nd,GarageArea,0.1426,0.3813,0.479,0.3813,0.0978,strong,54,1,14.0,strong interaction candidate
HouseStyle,GrLivArea,0.0863,0.4372,0.5322,0.4372,0.095,strong,32,1,16.0,strong interaction candidate
SaleCondition,OpenPorchSF,0.1355,0.1662,0.2605,0.1662,0.0943,strong,17,1,16.0,strong interaction candidate
Exterior1st,GarageArea,0.1471,0.3813,0.475,0.3813,0.0937,strong,55,1,12.0,strong interaction candidate
Neighborhood,GarageCars,0.2918,0.4912,0.5849,0.4912,0.0936,strong,38,1,24.5,strong interaction candidate
MSZoning,2ndFlrSF,0.1076,0.1375,0.2305,0.1375,0.093,strong,15,1,22.0,strong interaction candidate
GarageType,GarageCars,0.2492,0.4912,0.5836,0.4912,0.0924,strong,19,1,9.0,strong interaction candidate
Exterior1st,TotalBsmtSF,0.1471,0.3666,0.4589,0.3666,0.0923,strong,54,1,12.5,strong interaction candidate
MSSubClass,OpenPorchSF,0.2386,0.1662,0.3306,0.2386,0.092,strong,33,2,17.0,strong interaction candidate
SaleCondition,GrLivArea,0.1355,0.4372,0.5286,0.4372,0.0915,strong,26,1,15.0,strong interaction candidate
GarageFinish,GarageCars,0.3059,0.4912,0.5821,0.4912,0.0909,strong,12,2,73.0,strong interaction candidate
Foundation,2ndFlrSF,0.2564,0.1375,0.3471,0.2564,0.0907,strong,16,1,39.5,strong interaction candidate
HouseStyle,LotArea,0.0863,0.21,0.2973,0.21,0.0873,strong,38,1,12.0,strong interaction candidate
GarageType,2ndFlrSF,0.2492,0.1375,0.3307,0.2492,0.0815,strong,21,1,14.0,strong interaction candidate
MSZoning,OpenPorchSF,0.1076,0.1662,0.247,0.1662,0.0809,strong,15,1,16.0,strong interaction candidate
GarageFinish,2ndFlrSF,0.3059,0.1375,0.3846,0.3059,0.0787,strong,12,9,85.5,strong interaction candidate
GarageFinish,OpenPorchSF,0.3059,0.1662,0.3839,0.3059,0.0781,strong,12,5,94.0,strong interaction candidate
SaleCondition,1stFlrSF,0.1355,0.328,0.4048,0.328,0.0769,strong,26,1,13.0,strong interaction candidate
OverallQual,GrLivArea,0.6842,0.4372,0.7593,0.6842,0.0752,strong,35,1,26.0,strong interaction candidate
Foundation,OpenPorchSF,0.2564,0.1662,0.3315,0.2564,0.0751,strong,15,1,23.0,strong interaction candidate
HouseStyle,TotRmsAbvGrd,0.0863,0.2837,0.3581,0.2837,0.0745,strong,32,1,17.0,strong interaction candidate
SaleCondition,FullBath,0.1355,0.3364,0.4084,0.3364,0.072,strong,21,1,6.0,strong interaction candidate
KitchenQual,MasVnrArea,0.4542,0.1859,0.526,0.4542,0.0718,strong,12,1,74.5,strong interaction candidate
MSZoning,GrLivArea,0.1076,0.4372,0.5058,0.4372,0.0687,strong,22,1,20.0,strong interaction candidate
SaleCondition,TotalBsmtSF,0.1355,0.3666,0.4299,0.3666,0.0633,strong,28,1,8.5,strong interaction candidate
BsmtQual,2ndFlrSF,0.465,0.1375,0.5276,0.465,0.0626,strong,15,2,36.0,strong interaction candidate
MSZoning,LotArea,0.1076,0.21,0.2718,0.21,0.0618,strong,23,1,10.0,strong interaction candidate
HouseStyle,MasVnrArea,0.087,0.1859,0.2475,0.1859,0.0617,strong,18,4,24.0,strong interaction candidate
OverallQual,LotArea,0.6842,0.21,0.7455,0.6842,0.0613,strong,42,1,25.0,strong interaction candidate
OverallQual,GarageCars,0.6842,0.4912,0.7441,0.6842,0.0599,strong,34,1,7.0,strong interaction candidate
Foundation,GarageCars,0.2564,0.4912,0.5509,0.4912,0.0597,strong,21,1,14.0,strong interaction candidate
HouseStyle,GarageArea,0.0863,0.3813,0.4404,0.3813,0.0591,strong,35,1,11.0,strong interaction candidate
KitchenQual,2ndFlrSF,0.4566,0.1375,0.5148,0.4566,0.0582,strong,12,5,66.5,strong interaction candidate
MSZoning,1stFlrSF,0.1076,0.328,0.385,0.328,0.057,strong,24,1,10.0,strong interaction candidate
MSSubClass,2ndFlrSF,0.2386,0.1375,0.2941,0.2386,0.0555,strong,26,1,21.0,strong interaction candidate
BsmtQual,MasVnrArea,0.4626,0.1859,0.5175,0.4626,0.0549,strong,15,1,32.0,strong interaction candidate
HouseStyle,FullBath,0.0863,0.3364,0.3893,0.3364,0.0528,strong,25,1,5.0,strong interaction candidate
HouseStyle,OpenPorchSF,0.0863,0.1662,0.219,0.1662,0.0528,strong,23,1,12.0,strong interaction candidate
Exterior1st,GarageCars,0.1471,0.4912,0.5438,0.4912,0.0526,strong,46,1,9.0,strong interaction candidate
ExterQual,2ndFlrSF,0.4774,0.1375,0.5299,0.4774,0.0525,strong,12,2,52.0,strong interaction candidate
MSZoning,GarageArea,0.1076,0.3813,0.4332,0.3813,0.052,strong,23,1,18.0,strong interaction candidate
OverallQual,1stFlrSF,0.6842,0.328,0.7346,0.6842,0.0504,strong,39,1,35.0,strong interaction candidate
Exterior2nd,GarageCars,0.1426,0.4912,0.5413,0.4912,0.05,strong,46,1,10.0,strong interaction candidate
ExterQual,MasVnrArea,0.4743,0.1859,0.5242,0.4743,0.0499,strong,10,4,125.0,moderate interaction candidate
SaleCondition,GarageArea,0.1355,0.3813,0.4307,0.3813,0.0495,strong,26,1,12.0,moderate interaction candidate
OverallQual,TotRmsAbvGrd,0.6842,0.2837,0.733,0.6842,0.0488,strong,39,1,23.0,moderate interaction candidate
MSZoning,FullBath,0.1076,0.3364,0.3845,0.3364,0.0481,strong,15,1,8.0,moderate interaction candidate
OverallQual,GarageArea,0.6842,0.3813,0.7322,0.6842,0.048,strong,37,1,26.0,moderate interaction candidate
KitchenQual,OpenPorchSF,0.4566,0.1662,0.5044,0.4566,0.0478,strong,12,3,58.5,moderate interaction candidate
OverallQual,TotalBsmtSF,0.6842,0.3666,0.7307,0.6842,0.0465,strong,36,1,34.5,moderate interaction candidate
MSZoning,GarageCars,0.1076,0.4912,0.5364,0.4912,0.0452,strong,20,1,6.0,moderate interaction candidate
MSZoning,TotalBsmtSF,0.1076,0.3666,0.4112,0.3666,0.0446,strong,23,1,14.0,moderate interaction candidate
OverallQual,FullBath,0.6842,0.3364,0.7286,0.6842,0.0444,strong,30,1,6.5,moderate interaction candidate
HouseStyle,2ndFlrSF,0.0863,0.1375,0.1783,0.1375,0.0408,moderate,18,1,13.5,moderate interaction candidate
BsmtQual,OpenPorchSF,0.465,0.1662,0.5057,0.465,0.0407,strong,15,1,46.0,moderate interaction candidate
ExterQual,OpenPorchSF,0.4774,0.1662,0.5124,0.4774,0.035,strong,11,1,102.0,moderate interaction candidate
HouseStyle,GarageCars,0.0863,0.4912,0.5183,0.4912,0.027,strong,31,1,6.0,moderate interaction candidate
OverallQual,2ndFlrSF,0.6842,0.1375,0.7089,0.6842,0.0247,strong,25,1,25.0,moderate interaction candidate
SaleCondition,GarageCars,0.1355,0.4912,0.5134,0.4912,0.0221,strong,21,1,9.0,moderate interaction candidate
OverallQual,MasVnrArea,0.6821,0.1859,0.7027,0.6821,0.0206,strong,25,1,30.0,moderate interaction candidate
OverallQual,OpenPorchSF,0.6842,0.1662,0.7037,0.6842,0.0195,strong,26,1,26.5,small interaction gain
