column_name,categorical_family,is_ordinal,is_nominal,is_absence_related,cardinality_level,missing_percentage,missing_type,missing_handling,rare_level,rare_decision,dominance_level,top_percentage,consistency_status,test_only_category_count,ordinal_mapping_status,recommended_encoding_from_cardinality,final_encoding_method,unknown_handling,encoder_safety,encoding_risk,drop_review_action,review_reason,final_categorical_action
Condition2,nominal,False,True,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,near-constant,98.97,no unseen test category,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,review before keeping,near-constant and not clearly absence-related,keep but review
BldgType,nominal,False,True,False,low,0.0,none,no missing handling needed,no rare category,no rare grouping needed,highly dominated,83.56,perfect match,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,keep,no major univariate drop risk,keep + encode
HouseStyle,nominal,False,True,False,low,0.0,none,no missing handling needed,moderate rare impact,rare grouping recommended,balanced,49.73,no unseen test category,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,rare grouping review,moderate/high rare category impact,keep + rare grouping
OverallQual,ordinal,True,False,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,balanced,27.19,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
OverallCond,ordinal,True,False,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,balanced,56.23,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
RoofStyle,nominal,False,True,False,low,0.0,none,no missing handling needed,moderate rare impact,rare grouping recommended,moderately dominated,78.15,perfect match,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,rare grouping review,moderate/high rare category impact,keep + rare grouping
RoofMatl,nominal,False,True,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,near-constant,98.22,no unseen test category,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,review before keeping,near-constant and not clearly absence-related,keep but review
Exterior1st,nominal,False,True,False,medium,0.0,none,no missing handling needed,low rare impact,rare grouping optional,balanced,35.27,no unseen test category,0,not ordinal,one-hot encoding after rare grouping,rare grouping + one-hot encoding,group rare/unseen as Rare or use handle_unknown=ignore,rare grouping + safe one-hot,medium,keep,no major univariate drop risk,keep + encode
Exterior2nd,nominal,False,True,False,medium,0.0,none,no missing handling needed,low rare impact,rare grouping optional,balanced,34.52,no unseen test category,0,not ordinal,one-hot encoding after rare grouping,rare grouping + one-hot encoding,group rare/unseen as Rare or use handle_unknown=ignore,rare grouping + safe one-hot,medium,keep,no major univariate drop risk,keep + encode
MasVnrType,nominal,False,True,True,low,59.73,absence-related,fill with None,no rare category,no rare grouping needed,balanced,59.73,perfect match,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,keep,no major univariate drop risk,keep + encode
ExterQual,ordinal,True,False,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,moderately dominated,62.05,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
ExterCond,ordinal,True,False,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,highly dominated,87.81,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
Foundation,nominal,False,True,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,balanced,44.32,perfect match,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,keep,no major univariate drop risk,keep + encode
BsmtQual,ordinal,True,False,True,low,2.53,absence-related,fill with None,no rare category,no rare grouping needed,balanced,44.45,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
BsmtCond,ordinal,True,False,True,low,2.53,absence-related,fill with None,low rare impact,rare grouping optional,highly dominated,89.79,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
BsmtExposure,ordinal,True,False,True,low,2.6,absence-related,fill with None,no rare category,no rare grouping needed,moderately dominated,65.27,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
BsmtFinType1,ordinal,True,False,True,low,2.53,absence-related,fill with None,no rare category,no rare grouping needed,balanced,29.45,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
BsmtFinType2,ordinal,True,False,True,low,2.6,absence-related,fill with None,low rare impact,rare grouping optional,highly dominated,86.03,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
Heating,nominal,False,True,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,near-constant,97.81,no unseen test category,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,review before keeping,near-constant and not clearly absence-related,keep but review
HeatingQC,ordinal,True,False,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,balanced,50.75,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
CentralAir,nominal,False,True,False,binary,0.0,none,no missing handling needed,no rare category,no rare grouping needed,highly dominated,93.49,perfect match,0,not ordinal,binary encoding / one-hot,binary 0/1 or one-hot,handle_unknown=ignore if one-hot,safe one-hot/binary encoder,low,keep,no major univariate drop risk,keep + encode
Electrical,nominal,False,True,False,low,0.07,unknown / low missing,fill with mode or Unknown,low rare impact,rare grouping optional,highly dominated,91.37,no unseen test category,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,keep,no major univariate drop risk,keep + encode
KitchenQual,ordinal,True,False,False,low,0.0,none,no missing handling needed,no rare category,no rare grouping needed,balanced,50.34,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
Functional,ordinal,True,False,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,highly dominated,93.15,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
FireplaceQu,ordinal,True,False,True,low,47.26,absence-related,fill with None,no rare category,no rare grouping needed,balanced,47.26,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
GarageType,nominal,False,True,True,low,5.55,absence-related,fill with None,low rare impact,rare grouping optional,balanced,59.59,perfect match,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,keep,no major univariate drop risk,keep + encode
GarageFinish,ordinal,True,False,True,low,5.55,absence-related,fill with None,no rare category,no rare grouping needed,balanced,41.44,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
GarageQual,ordinal,True,False,True,low,5.55,absence-related,fill with None,low rare impact,rare grouping optional,highly dominated,89.79,no unseen test category,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
GarageCond,ordinal,True,False,True,low,5.55,absence-related,fill with None,low rare impact,rare grouping optional,highly dominated,90.82,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
PavedDrive,ordinal,True,False,False,low,0.0,none,no missing handling needed,no rare category,no rare grouping needed,highly dominated,91.78,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
PoolQC,ordinal,True,False,True,low,99.52,absence-related,fill with None,low rare impact,rare grouping optional,near-constant,99.52,no unseen test category,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep but review,near-constant but absence may be meaningful,keep but review
Fence,ordinal,True,False,True,low,80.75,absence-related,fill with None,low rare impact,rare grouping optional,highly dominated,80.75,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
MiscFeature,nominal,False,True,True,low,96.3,absence-related,fill with None,low rare impact,rare grouping optional,near-constant,96.3,no unseen test category,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,keep but review,near-constant but absence may be meaningful,keep but review
SaleType,nominal,False,True,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,highly dominated,86.78,perfect match,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,availability review,sale transaction feature; check whether available at prediction time,keep but review
SaleCondition,nominal,False,True,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,highly dominated,82.05,perfect match,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,availability review,sale transaction feature; check whether available at prediction time,keep but review
