feature_name,feature_group,metric_name,raw_metric_value,normalized_signal_score,signal_strength,relationship_direction,median_gap_percentage,action_hint
OverallCond,ordinal_categorical,sqrt_eta_squared,0.1254,0.3541,moderate,non-monotonic / mixed,55.95,keep / important ordinal signal
WoodDeckSF,numeric_continuous,abs_spearman_corr,0.3538,0.3538,weak,positive,,numeric relationship with target
Fireplaces,numeric_zero_absence,abs_median_gap_percentage,34.36,0.3436,moderate,present higher,34.36,absence/presence target gap
FireplaceQu,categorical_absence,abs_median_gap_percentage,34.36,0.3436,moderate,present higher,34.36,absence/presence target gap
HalfBath,numeric_continuous,abs_spearman_corr,0.343,0.343,weak,positive,,numeric relationship with target
OpenPorchSF,numeric_zero_absence,abs_median_gap_percentage,33.93,0.3393,moderate,present higher,33.93,absence/presence target gap
FireplaceQu,ordinal_categorical,sqrt_eta_squared,0.1131,0.3363,moderate,non-monotonic / mixed,109.97,keep / important ordinal signal
MSZoning,nominal_categorical,sqrt_eta_squared,0.1076,0.328,moderate,,80.52,keep / important nominal signal
HalfBath,count_discrete,sqrt_eta_squared,0.0927,0.3045,weak,,28.22,keep / weak standalone signal
BsmtFinSF1,numeric_continuous,abs_spearman_corr,0.3019,0.3019,weak,positive,,numeric relationship with target
MasVnrType,categorical_absence,abs_median_gap_percentage,30.14,0.3014,moderate,present higher,30.14,absence/presence target gap
MasVnrArea,numeric_zero_absence,abs_median_gap_percentage,29.91,0.2991,moderate,present higher,29.91,absence/presence target gap
HouseStyle,nominal_categorical,sqrt_eta_squared,0.0863,0.2938,weak,,48.31,keep but review rare target stability
2ndFlrSF,numeric_continuous,abs_spearman_corr,0.2936,0.2936,weak,positive,,numeric relationship with target
LotShape,ordinal_categorical,sqrt_eta_squared,0.0764,0.2764,weak,non-monotonic / mixed,-35.32,keep but review
WoodDeckSF,numeric_zero_absence,abs_median_gap_percentage,26.29,0.2629,moderate,present higher,26.29,absence/presence target gap
CentralAir,nominal_categorical,sqrt_eta_squared,0.0632,0.2514,weak,,42.94,keep / weak standalone signal
Electrical,nominal_categorical,sqrt_eta_squared,0.0597,0.2443,weak,,33.74,keep but review rare target stability
BedroomAbvGr,count_discrete,sqrt_eta_squared,0.0587,0.2423,weak,,40.03,keep but review rare count levels
RoofStyle,nominal_categorical,sqrt_eta_squared,0.0577,0.2402,weak,,28.22,keep but review rare target stability
HasGarageYrBlt,time_group,sqrt_eta_squared,0.0561,0.2369,weak,,41.41,time group target separation
BedroomAbvGr,numeric_continuous,abs_spearman_corr,0.2349,0.2349,weak,positive,,numeric relationship with target
PavedDrive,ordinal_categorical,sqrt_eta_squared,0.0545,0.2335,weak,monotonic increasing,35.28,keep / ordered signal exists
BsmtFullBath,count_discrete,sqrt_eta_squared,0.0535,0.2313,weak,,20.77,keep but review rare count levels
Fence,ordinal_categorical,sqrt_eta_squared,0.0509,0.2256,weak,non-monotonic / mixed,-3.37,keep but review
BsmtFullBath,numeric_continuous,abs_spearman_corr,0.2251,0.2251,weak,positive,,numeric relationship with target
EnclosedPorch,numeric_zero_absence,abs_median_gap_percentage,-22.48,0.2248,moderate,present lower,-22.48,absence/presence target gap
EnclosedPorch,numeric_continuous,abs_spearman_corr,-0.2184,0.2184,weak,negative,,numeric relationship with target
LowQualFinSF,numeric_zero_absence,abs_median_gap_percentage,-19.9,0.199,weak,present lower,-19.9,absence/presence target gap
Fence,categorical_absence,abs_median_gap_percentage,-19.33,0.1933,weak,present lower,-19.33,absence/presence target gap
BldgType,nominal_categorical,sqrt_eta_squared,0.0345,0.1857,weak,,27.42,keep / weak standalone signal
BsmtUnfSF,numeric_continuous,abs_spearman_corr,0.1852,0.1852,very weak,positive,,numeric relationship with target
Condition1,nominal_categorical,sqrt_eta_squared,0.0326,0.1806,weak,,49.36,keep but review rare target stability
RoofMatl,nominal_categorical,sqrt_eta_squared,0.0314,0.1772,weak,,3.07,keep but review rare target stability
BsmtCond,ordinal_categorical,sqrt_eta_squared,0.0288,0.1697,very weak,monotonic increasing,56.49,keep / ordered signal exists
2ndFlrSF,numeric_zero_absence,abs_median_gap_percentage,16.56,0.1656,weak,present higher,16.56,absence/presence target gap
KitchenAbvGr,numeric_continuous,abs_spearman_corr,-0.1648,0.1648,very weak,negative,,numeric relationship with target
GarageQual,ordinal_categorical,sqrt_eta_squared,0.0271,0.1646,very weak,monotonic increasing,66.94,keep / ordered signal exists
GarageCond,ordinal_categorical,sqrt_eta_squared,0.027,0.1643,very weak,non-monotonic / mixed,29.45,keep but review
LandContour,nominal_categorical,sqrt_eta_squared,0.0258,0.1606,very weak,,50.83,keep / weak standalone signal
3SsnPorch,numeric_zero_absence,abs_median_gap_percentage,15.64,0.1564,weak,present higher,15.64,absence/presence target gap
ExterCond,ordinal_categorical,sqrt_eta_squared,0.0236,0.1536,very weak,non-monotonic / mixed,34.05,keep but review
Alley,categorical_absence,abs_median_gap_percentage,-15.34,0.1534,weak,present lower,-15.34,absence/presence target gap
LotConfig,nominal_categorical,sqrt_eta_squared,0.021,0.1449,very weak,,24.27,keep but review rare target stability
Alley,nominal_categorical,sqrt_eta_squared,0.0204,0.1428,very weak,,32.52,keep / weak standalone signal
KitchenAbvGr,count_discrete,sqrt_eta_squared,0.0199,0.1411,very weak,,19.42,keep but review rare count levels
Functional,ordinal_categorical,sqrt_eta_squared,0.0165,0.1285,very weak,non-monotonic / mixed,49.39,keep but review
Heating,nominal_categorical,sqrt_eta_squared,0.0144,0.12,very weak,,18.13,keep but review rare target stability
MiscFeature,categorical_absence,abs_median_gap_percentage,-11.2,0.112,weak,present lower,-11.2,absence/presence target gap
ScreenPorch,numeric_continuous,abs_spearman_corr,0.1001,0.1001,very weak,positive,,numeric relationship with target
Condition2,nominal_categorical,sqrt_eta_squared,0.0099,0.0995,very weak,,,keep but review rare target stability
MiscVal,numeric_zero_absence,abs_median_gap_percentage,-9.82,0.0982,very weak,present lower,-9.82,absence/presence target gap
BsmtFinType2,ordinal_categorical,sqrt_eta_squared,0.0095,0.0975,very weak,non-monotonic / mixed,60.8,keep but review
ScreenPorch,numeric_zero_absence,abs_median_gap_percentage,9.2,0.092,very weak,present higher,9.2,absence/presence target gap
MiscFeature,nominal_categorical,sqrt_eta_squared,0.0071,0.0843,very weak,,12.42,keep but review rare target stability
SaleQuarter,time_group,sqrt_eta_squared,0.0053,0.0728,very weak,,8.74,time group target separation
BsmtFinSF1,numeric_zero_absence,abs_median_gap_percentage,7.12,0.0712,very weak,present higher,7.12,absence/presence target gap
LowQualFinSF,numeric_continuous,abs_spearman_corr,-0.0677,0.0677,very weak,negative,,numeric relationship with target
BsmtFinSF2,numeric_zero_absence,abs_median_gap_percentage,-6.75,0.0675,very weak,present lower,-6.75,absence/presence target gap
3SsnPorch,numeric_continuous,abs_spearman_corr,0.0654,0.0654,very weak,positive,,numeric relationship with target
MiscVal,numeric_continuous,abs_spearman_corr,-0.0627,0.0627,very weak,negative,,numeric relationship with target
SaleSeason,time_group,sqrt_eta_squared,0.0035,0.0592,very weak,,9.2,time group target separation
PoolArea,numeric_continuous,abs_spearman_corr,0.0585,0.0585,very weak,positive,,numeric relationship with target
LandSlope,ordinal_categorical,sqrt_eta_squared,0.0027,0.052,very weak,non-monotonic / mixed,-14.19,keep but review
Street,nominal_categorical,sqrt_eta_squared,0.0017,0.0412,very weak,,,keep but review rare target stability
BsmtFinSF2,numeric_continuous,abs_spearman_corr,-0.0388,0.0388,very weak,negative,,numeric relationship with target
IsRemodeled,time_group,sqrt_eta_squared,0.0005,0.0224,very weak,,9.2,time group target separation
BsmtHalfBath,count_discrete,sqrt_eta_squared,0.0003,0.0173,very weak,,2.61,keep but review rare count levels
Utilities,nominal_categorical,sqrt_eta_squared,0.0002,0.0141,very weak,,,keep but review rare target stability
BsmtHalfBath,numeric_continuous,abs_spearman_corr,-0.0122,0.0122,very weak,negative,,numeric relationship with target
