column_name,pandas_dtype,final_corrected_type,categorical_family,basic_type,is_object_categorical,is_numeric_categorical,is_ordinal,is_nominal,is_absence_related,unique_count,unique_ratio,missing_count,missing_percentage,sample_values,missing_pandas_dtype,missing_missing_count,missing_missing_percentage,missing_status,missing_is_absence_related,missing_type,imputation_hint,missing_review,cardinality_categorical_family,cardinality_is_ordinal,cardinality_is_nominal,cardinality_is_absence_related,cardinality_unique_count,cardinality_unique_ratio,cardinality_level,ohe_column_estimate,recommended_encoding,alternative_encoding,encoding_risk,encoding_reason,one_hot_safe,rare_grouping_needed,frequency_encoding_candidate,binary_encoding_candidate,target_encoding_candidate_later,dominance_categorical_family,dominance_is_ordinal,dominance_is_nominal,dominance_is_absence_related,dominance_unique_count,top_category,top_count,top_percentage,second_category,second_count,second_percentage,dominance_level,dominance_action,rare_categorical_family,rare_is_ordinal,rare_is_nominal,rare_is_absence_related,rare_unique_count,rare_threshold_percentage,rare_category_count,rare_row_count,rare_row_percentage,rare_categories,rare_level,rare_action,train_test_categorical_family,train_test_is_ordinal,train_test_is_nominal,train_test_is_absence_related,train_unique_count,test_unique_count,common_category_count,train_only_category_count,test_only_category_count,test_only_row_count,test_only_row_percentage,category_match_ratio,train_only_categories,test_only_categories,consistency_status,encoding_safety_action,ordinal_unique_count,unique_values,ordinal_missing_count,ordinal_missing_percentage,ordinal_is_absence_related,mapping_available,mapped_category_count,unmapped_category_count,unmapped_categories,mapping_status,missing_handling,encoding_hint,nominal_pandas_dtype,nominal_is_absence_related,nominal_unique_count,nominal_unique_ratio,nominal_cardinality_level,nominal_missing_count,nominal_missing_percentage,nominal_top_category,nominal_top_percentage,nominal_rare_category_count,nominal_rare_row_percentage,nominal_rare_action,nominal_dominance_level,nominal_dominance_action,nominal_consistency_status,nominal_encoding_safety_action,nominal_encoding_hint,nominal_encoding_risk,final_nominal_action,drop_review_categorical_family,drop_review_is_ordinal,drop_review_is_nominal,drop_review_is_absence_related,drop_review_unique_count,drop_review_unique_ratio,drop_review_missing_percentage,drop_review_missing_type,drop_review_top_percentage,drop_review_dominance_level,drop_review_cardinality_level,drop_review_encoding_risk,drop_review_rare_row_percentage,drop_review_rare_level,drop_review_test_only_category_count,drop_review_consistency_status,is_constant,is_near_constant,is_id_like,is_high_missing,has_unseen_test_category,has_rare_grouping_risk,possible_availability_review,risk_score,review_reason,drop_review_action,final_categorical_family,final_is_ordinal,final_is_nominal,final_is_absence_related,final_cardinality_level,final_missing_percentage,final_missing_type,final_missing_handling,final_rare_level,rare_decision,final_dominance_level,final_top_percentage,final_consistency_status,final_test_only_category_count,ordinal_mapping_status,recommended_encoding_from_cardinality,final_encoding_method,unknown_handling,encoder_safety,final_encoding_risk,final_drop_review_action,final_review_reason,final_categorical_action
Condition1,object,object_dtype_columns,nominal,low_cardinality,True,False,False,True,False,9,0.0062,0,0.0,"Norm, Feedr, PosN, Artery, RRAe",object,0,0.0,no missing,False,none,no imputation needed,no review needed,nominal,False,True,False,9,0.0062,low,9,one-hot encoding,frequency encoding,low,"Nominal feature has low cardinality, so one-hot encoding is safe and avoids artificial order.",True,False,False,False,False,nominal,False,True,False,9,Norm,1260,86.3,Feedr,81,5.55,highly dominated,review usefulness,nominal,False,True,False,9,1.0,4,26,1.78,"RRAe, PosA, RRNn, RRNe",low rare impact,rare grouping optional,nominal,False,True,False,9,9,9,0,0,0,0.0,1.0,,,perfect match,safe for encoding,,,,,,,,,,,,,object,False,9.0,0.0062,low,0.0,0.0,Norm,86.3,4.0,1.78,rare grouping optional,highly dominated,review usefulness,perfect match,safe for encoding,one-hot encoding,low,encode directly,nominal,False,True,False,9,0.0062,0.0,none,86.3,highly dominated,low,low,1.78,low rare impact,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,nominal,False,True,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,highly dominated,86.3,perfect match,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,keep,no major univariate drop risk,keep + encode
Condition2,object,object_dtype_columns,nominal,low_cardinality,True,False,False,True,False,8,0.0055,0,0.0,"Norm, Artery, RRNn, Feedr, PosN",object,0,0.0,no missing,False,none,no imputation needed,no review needed,nominal,False,True,False,8,0.0055,low,8,one-hot encoding,frequency encoding,low,"Nominal feature has low cardinality, so one-hot encoding is safe and avoids artificial order.",True,False,False,False,False,nominal,False,True,False,8,Norm,1445,98.97,Feedr,6,0.41,near-constant,review/drop candidate,nominal,False,True,False,8,1.0,7,15,1.03,"Feedr, Artery, RRNn, PosN, PosA, RRAn, RRAe",low rare impact,rare grouping optional,nominal,False,True,False,8,5,5,3,0,0,0.0,0.625,"RRAe, RRAn, RRNn",,no unseen test category,safe; train-only categories are not an issue,,,,,,,,,,,,,object,False,8.0,0.0055,low,0.0,0.0,Norm,98.97,7.0,1.03,rare grouping optional,near-constant,review/drop candidate,no unseen test category,safe; train-only categories are not an issue,one-hot encoding,low,encode directly,nominal,False,True,False,8,0.0055,0.0,none,98.97,near-constant,low,low,1.03,low rare impact,0,no unseen test category,False,True,False,False,False,False,False,3,near-constant and not clearly absence-related,review before keeping,nominal,False,True,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,near-constant,98.97,no unseen test category,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,review before keeping,near-constant and not clearly absence-related,keep but review
BldgType,object,object_dtype_columns,nominal,low_cardinality,True,False,False,True,False,5,0.0034,0,0.0,"1Fam, 2fmCon, Duplex, TwnhsE, Twnhs",object,0,0.0,no missing,False,none,no imputation needed,no review needed,nominal,False,True,False,5,0.0034,low,5,one-hot encoding,frequency encoding,low,"Nominal feature has low cardinality, so one-hot encoding is safe and avoids artificial order.",True,False,False,False,False,nominal,False,True,False,5,1Fam,1220,83.56,TwnhsE,114,7.81,highly dominated,review usefulness,nominal,False,True,False,5,1.0,0,0,0.0,,no rare category,no rare grouping needed,nominal,False,True,False,5,5,5,0,0,0,0.0,1.0,,,perfect match,safe for encoding,,,,,,,,,,,,,object,False,5.0,0.0034,low,0.0,0.0,1Fam,83.56,0.0,0.0,no rare grouping needed,highly dominated,review usefulness,perfect match,safe for encoding,one-hot encoding,low,encode directly,nominal,False,True,False,5,0.0034,0.0,none,83.56,highly dominated,low,low,0.0,no rare category,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,nominal,False,True,False,low,0.0,none,no missing handling needed,no rare category,no rare grouping needed,highly dominated,83.56,perfect match,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,keep,no major univariate drop risk,keep + encode
HouseStyle,object,object_dtype_columns,nominal,low_cardinality,True,False,False,True,False,8,0.0055,0,0.0,"2Story, 1Story, 1.5Fin, 1.5Unf, SFoyer",object,0,0.0,no missing,False,none,no imputation needed,no review needed,nominal,False,True,False,8,0.0055,low,8,one-hot encoding,frequency encoding,low,"Nominal feature has low cardinality, so one-hot encoding is safe and avoids artificial order.",True,False,False,False,False,nominal,False,True,False,8,1Story,726,49.73,2Story,445,30.48,balanced,keep,nominal,False,True,False,8,1.0,3,33,2.26,"1.5Unf, 2.5Unf, 2.5Fin",moderate rare impact,rare grouping recommended,nominal,False,True,False,8,7,7,1,0,0,0.0,0.875,2.5Fin,,no unseen test category,safe; train-only categories are not an issue,,,,,,,,,,,,,object,False,8.0,0.0055,low,0.0,0.0,1Story,49.73,3.0,2.26,rare grouping recommended,balanced,keep,no unseen test category,safe; train-only categories are not an issue,one-hot encoding,low,encode directly,nominal,False,True,False,8,0.0055,0.0,none,49.73,balanced,low,low,2.26,moderate rare impact,0,no unseen test category,False,False,False,False,False,True,False,1,moderate/high rare category impact,rare grouping review,nominal,False,True,False,low,0.0,none,no missing handling needed,moderate rare impact,rare grouping recommended,balanced,49.73,no unseen test category,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,rare grouping review,moderate/high rare category impact,keep + rare grouping
OverallQual,int64,categorical,ordinal,low_cardinality,False,True,True,False,False,10,0.0068,0,0.0,"7, 6, 8, 5, 9",int64,0,0.0,no missing,False,none,no imputation needed,no review needed,ordinal,True,False,False,10,0.0068,low,10,ordinal encoding,one-hot if order is uncertain,low,"Feature has meaningful order/ranking, so ordinal encoding preserves category order.",False,False,False,False,False,ordinal,True,False,False,10,5,397,27.19,6,374,25.62,balanced,keep,ordinal,True,False,False,10,1.0,2,5,0.34,"2, 1",low rare impact,rare grouping optional,ordinal,True,False,False,10,10,10,0,0,0,0.0,1.0,,,perfect match,safe for encoding,10.0,"1, 10, 2, 3, 4, 5, 6, 7, 8, 9",0.0,0.0,False,True,10.0,0.0,,ready,no special missing handling,ordinal encoding,,,,,,,,,,,,,,,,,,,,ordinal,True,False,False,10,0.0068,0.0,none,27.19,balanced,low,low,0.34,low rare impact,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,ordinal,True,False,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,balanced,27.19,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
OverallCond,int64,categorical,ordinal,low_cardinality,False,True,True,False,False,9,0.0062,0,0.0,"5, 8, 6, 7, 4",int64,0,0.0,no missing,False,none,no imputation needed,no review needed,ordinal,True,False,False,9,0.0062,low,9,ordinal encoding,one-hot if order is uncertain,low,"Feature has meaningful order/ranking, so ordinal encoding preserves category order.",False,False,False,False,False,ordinal,True,False,False,9,5,821,56.23,6,252,17.26,balanced,keep,ordinal,True,False,False,9,1.0,2,6,0.41,"2, 1",low rare impact,rare grouping optional,ordinal,True,False,False,9,9,9,0,0,0,0.0,1.0,,,perfect match,safe for encoding,9.0,"1, 2, 3, 4, 5, 6, 7, 8, 9",0.0,0.0,False,True,9.0,0.0,,ready,no special missing handling,ordinal encoding,,,,,,,,,,,,,,,,,,,,ordinal,True,False,False,9,0.0062,0.0,none,56.23,balanced,low,low,0.41,low rare impact,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,ordinal,True,False,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,balanced,56.23,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
RoofStyle,object,object_dtype_columns,nominal,low_cardinality,True,False,False,True,False,6,0.0041,0,0.0,"Gable, Hip, Gambrel, Mansard, Flat",object,0,0.0,no missing,False,none,no imputation needed,no review needed,nominal,False,True,False,6,0.0041,low,6,one-hot encoding,frequency encoding,low,"Nominal feature has low cardinality, so one-hot encoding is safe and avoids artificial order.",True,False,False,False,False,nominal,False,True,False,6,Gable,1141,78.15,Hip,286,19.59,moderately dominated,keep but monitor,nominal,False,True,False,6,1.0,4,33,2.26,"Flat, Gambrel, Mansard, Shed",moderate rare impact,rare grouping recommended,nominal,False,True,False,6,6,6,0,0,0,0.0,1.0,,,perfect match,safe for encoding,,,,,,,,,,,,,object,False,6.0,0.0041,low,0.0,0.0,Gable,78.15,4.0,2.26,rare grouping recommended,moderately dominated,keep but monitor,perfect match,safe for encoding,one-hot encoding,low,encode directly,nominal,False,True,False,6,0.0041,0.0,none,78.15,moderately dominated,low,low,2.26,moderate rare impact,0,perfect match,False,False,False,False,False,True,False,1,moderate/high rare category impact,rare grouping review,nominal,False,True,False,low,0.0,none,no missing handling needed,moderate rare impact,rare grouping recommended,moderately dominated,78.15,perfect match,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,rare grouping review,moderate/high rare category impact,keep + rare grouping
RoofMatl,object,object_dtype_columns,nominal,low_cardinality,True,False,False,True,False,8,0.0055,0,0.0,"CompShg, WdShngl, Metal, WdShake, Membran",object,0,0.0,no missing,False,none,no imputation needed,no review needed,nominal,False,True,False,8,0.0055,low,8,one-hot encoding,frequency encoding,low,"Nominal feature has low cardinality, so one-hot encoding is safe and avoids artificial order.",True,False,False,False,False,nominal,False,True,False,8,CompShg,1434,98.22,Tar&Grv,11,0.75,near-constant,review/drop candidate,nominal,False,True,False,8,1.0,7,26,1.78,"Tar&Grv, WdShngl, WdShake, Metal, Membran, Roll, ClyTile",low rare impact,rare grouping optional,nominal,False,True,False,8,4,4,4,0,0,0.0,0.5,"ClyTile, Membran, Metal, Roll",,no unseen test category,safe; train-only categories are not an issue,,,,,,,,,,,,,object,False,8.0,0.0055,low,0.0,0.0,CompShg,98.22,7.0,1.78,rare grouping optional,near-constant,review/drop candidate,no unseen test category,safe; train-only categories are not an issue,one-hot encoding,low,encode directly,nominal,False,True,False,8,0.0055,0.0,none,98.22,near-constant,low,low,1.78,low rare impact,0,no unseen test category,False,True,False,False,False,False,False,3,near-constant and not clearly absence-related,review before keeping,nominal,False,True,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,near-constant,98.22,no unseen test category,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,review before keeping,near-constant and not clearly absence-related,keep but review
Exterior1st,object,object_dtype_columns,nominal,medium_cardinality,True,False,False,True,False,15,0.0103,0,0.0,"VinylSd, MetalSd, Wd Sdng, HdBoard, BrkFace",object,0,0.0,no missing,False,none,no imputation needed,no review needed,nominal,False,True,False,15,0.0103,medium,15,one-hot encoding after rare grouping,frequency/count encoding,medium,"Medium-cardinality nominal feature may create several columns, so rare grouping should be checked before OHE.",False,True,True,False,False,nominal,False,True,False,15,VinylSd,515,35.27,HdBoard,222,15.21,balanced,keep,nominal,False,True,False,15,1.0,5,7,0.48,"BrkComm, Stone, AsphShn, ImStucc, CBlock",low rare impact,rare grouping optional,nominal,False,True,False,15,13,13,2,0,0,0.0,0.8667,"ImStucc, Stone",,no unseen test category,safe; train-only categories are not an issue,,,,,,,,,,,,,object,False,15.0,0.0103,medium,0.0,0.0,VinylSd,35.27,5.0,0.48,rare grouping optional,balanced,keep,no unseen test category,safe; train-only categories are not an issue,rare grouping + one-hot encoding,medium,rare grouping before encoding,nominal,False,True,False,15,0.0103,0.0,none,35.27,balanced,medium,medium,0.48,low rare impact,0,no unseen test category,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,nominal,False,True,False,medium,0.0,none,no missing handling needed,low rare impact,rare grouping optional,balanced,35.27,no unseen test category,0,not ordinal,one-hot encoding after rare grouping,rare grouping + one-hot encoding,group rare/unseen as Rare or use handle_unknown=ignore,rare grouping + safe one-hot,medium,keep,no major univariate drop risk,keep + encode
Exterior2nd,object,object_dtype_columns,nominal,medium_cardinality,True,False,False,True,False,16,0.011,0,0.0,"VinylSd, MetalSd, Wd Shng, HdBoard, Plywood",object,0,0.0,no missing,False,none,no imputation needed,no review needed,nominal,False,True,False,16,0.011,medium,16,one-hot encoding after rare grouping,frequency/count encoding,medium,"Medium-cardinality nominal feature may create several columns, so rare grouping should be checked before OHE.",False,True,True,False,False,nominal,False,True,False,16,VinylSd,504,34.52,MetalSd,214,14.66,balanced,keep,nominal,False,True,False,16,1.0,6,27,1.85,"ImStucc, Brk Cmn, Stone, AsphShn, Other, CBlock",low rare impact,rare grouping optional,nominal,False,True,False,16,15,15,1,0,0,0.0,0.9375,Other,,no unseen test category,safe; train-only categories are not an issue,,,,,,,,,,,,,object,False,16.0,0.011,medium,0.0,0.0,VinylSd,34.52,6.0,1.85,rare grouping optional,balanced,keep,no unseen test category,safe; train-only categories are not an issue,rare grouping + one-hot encoding,medium,rare grouping before encoding,nominal,False,True,False,16,0.011,0.0,none,34.52,balanced,medium,medium,1.85,low rare impact,0,no unseen test category,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,nominal,False,True,False,medium,0.0,none,no missing handling needed,low rare impact,rare grouping optional,balanced,34.52,no unseen test category,0,not ordinal,one-hot encoding after rare grouping,rare grouping + one-hot encoding,group rare/unseen as Rare or use handle_unknown=ignore,rare grouping + safe one-hot,medium,keep,no major univariate drop risk,keep + encode
MasVnrType,object,object_dtype_columns,nominal,low_cardinality,True,False,False,True,True,3,0.0021,872,59.73,"BrkFace, Stone, BrkCmn",object,872,59.73,very high,True,absence-related,fill with 'None',missing likely means feature absence,nominal,False,True,True,3,0.0021,low,3,one-hot encoding,frequency encoding,low,"Nominal feature has low cardinality, so one-hot encoding is safe and avoids artificial order.",True,False,False,False,False,nominal,False,True,True,3,,872,59.73,BrkFace,445,30.48,balanced,keep,nominal,False,True,True,3,1.0,0,0,0.0,,no rare category,no rare grouping needed,nominal,False,True,True,3,3,3,0,0,0,0.0,1.0,,,perfect match,safe for encoding,,,,,,,,,,,,,object,True,3.0,0.0021,low,872.0,59.73,,59.73,0.0,0.0,no rare grouping needed,balanced,keep,perfect match,safe for encoding,one-hot encoding,low,encode directly,nominal,False,True,True,3,0.0021,59.73,absence-related,59.73,balanced,low,low,0.0,no rare category,0,perfect match,False,False,False,True,False,False,False,2,no major univariate drop risk,keep,nominal,False,True,True,low,59.73,absence-related,fill with None,no rare category,no rare grouping needed,balanced,59.73,perfect match,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,keep,no major univariate drop risk,keep + encode
ExterQual,object,object_dtype_columns,ordinal,low_cardinality,True,False,True,False,False,4,0.0027,0,0.0,"Gd, TA, Ex, Fa",object,0,0.0,no missing,False,none,no imputation needed,no review needed,ordinal,True,False,False,4,0.0027,low,4,ordinal encoding,one-hot if order is uncertain,low,"Feature has meaningful order/ranking, so ordinal encoding preserves category order.",False,False,False,False,False,ordinal,True,False,False,4,TA,906,62.05,Gd,488,33.42,moderately dominated,keep but monitor,ordinal,True,False,False,4,1.0,1,14,0.96,Fa,low rare impact,rare grouping optional,ordinal,True,False,False,4,4,4,0,0,0,0.0,1.0,,,perfect match,safe for encoding,4.0,"Ex, Fa, Gd, TA",0.0,0.0,False,True,4.0,0.0,,ready,no special missing handling,ordinal encoding,,,,,,,,,,,,,,,,,,,,ordinal,True,False,False,4,0.0027,0.0,none,62.05,moderately dominated,low,low,0.96,low rare impact,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,ordinal,True,False,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,moderately dominated,62.05,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
ExterCond,object,object_dtype_columns,ordinal,low_cardinality,True,False,True,False,False,5,0.0034,0,0.0,"TA, Gd, Fa, Po, Ex",object,0,0.0,no missing,False,none,no imputation needed,no review needed,ordinal,True,False,False,5,0.0034,low,5,ordinal encoding,one-hot if order is uncertain,low,"Feature has meaningful order/ranking, so ordinal encoding preserves category order.",False,False,False,False,False,ordinal,True,False,False,5,TA,1282,87.81,Gd,146,10.0,highly dominated,review usefulness,ordinal,True,False,False,5,1.0,2,4,0.27,"Ex, Po",low rare impact,rare grouping optional,ordinal,True,False,False,5,5,5,0,0,0,0.0,1.0,,,perfect match,safe for encoding,5.0,"Ex, Fa, Gd, Po, TA",0.0,0.0,False,True,5.0,0.0,,ready,no special missing handling,ordinal encoding,,,,,,,,,,,,,,,,,,,,ordinal,True,False,False,5,0.0034,0.0,none,87.81,highly dominated,low,low,0.27,low rare impact,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,ordinal,True,False,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,highly dominated,87.81,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
Foundation,object,object_dtype_columns,nominal,low_cardinality,True,False,False,True,False,6,0.0041,0,0.0,"PConc, CBlock, BrkTil, Wood, Slab",object,0,0.0,no missing,False,none,no imputation needed,no review needed,nominal,False,True,False,6,0.0041,low,6,one-hot encoding,frequency encoding,low,"Nominal feature has low cardinality, so one-hot encoding is safe and avoids artificial order.",True,False,False,False,False,nominal,False,True,False,6,PConc,647,44.32,CBlock,634,43.42,balanced,keep,nominal,False,True,False,6,1.0,2,9,0.62,"Stone, Wood",low rare impact,rare grouping optional,nominal,False,True,False,6,6,6,0,0,0,0.0,1.0,,,perfect match,safe for encoding,,,,,,,,,,,,,object,False,6.0,0.0041,low,0.0,0.0,PConc,44.32,2.0,0.62,rare grouping optional,balanced,keep,perfect match,safe for encoding,one-hot encoding,low,encode directly,nominal,False,True,False,6,0.0041,0.0,none,44.32,balanced,low,low,0.62,low rare impact,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,nominal,False,True,False,low,0.0,none,no missing handling needed,low rare impact,rare grouping optional,balanced,44.32,perfect match,0,not ordinal,one-hot encoding,one-hot encoding,OneHotEncoder handle_unknown=ignore,safe one-hot encoder,low,keep,no major univariate drop risk,keep + encode
BsmtQual,object,object_dtype_columns,ordinal,low_cardinality,True,False,True,False,True,4,0.0027,37,2.53,"Gd, TA, Ex, Fa",object,37,2.53,low,True,absence-related,fill with 'None',missing likely means feature absence,ordinal,True,False,True,4,0.0027,low,4,ordinal encoding,one-hot if order is uncertain,low,"Feature has meaningful order/ranking, so ordinal encoding preserves category order.",False,False,False,False,False,ordinal,True,False,True,4,TA,649,44.45,Gd,618,42.33,balanced,keep,ordinal,True,False,True,4,1.0,0,0,0.0,,no rare category,no rare grouping needed,ordinal,True,False,True,4,4,4,0,0,0,0.0,1.0,,,perfect match,safe for encoding,4.0,"Ex, Fa, Gd, None, TA",37.0,2.53,True,True,5.0,0.0,,ready,fill missing with 'None',ordinal encoding,,,,,,,,,,,,,,,,,,,,ordinal,True,False,True,4,0.0027,2.53,absence-related,44.45,balanced,low,low,0.0,no rare category,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,ordinal,True,False,True,low,2.53,absence-related,fill with None,no rare category,no rare grouping needed,balanced,44.45,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
BsmtCond,object,object_dtype_columns,ordinal,low_cardinality,True,False,True,False,True,4,0.0027,37,2.53,"TA, Gd, Fa, Po",object,37,2.53,low,True,absence-related,fill with 'None',missing likely means feature absence,ordinal,True,False,True,4,0.0027,low,4,ordinal encoding,one-hot if order is uncertain,low,"Feature has meaningful order/ranking, so ordinal encoding preserves category order.",False,False,False,False,False,ordinal,True,False,True,4,TA,1311,89.79,Gd,65,4.45,highly dominated,review usefulness,ordinal,True,False,True,4,1.0,1,2,0.14,Po,low rare impact,rare grouping optional,ordinal,True,False,True,4,4,4,0,0,0,0.0,1.0,,,perfect match,safe for encoding,4.0,"Fa, Gd, None, Po, TA",37.0,2.53,True,True,5.0,0.0,,ready,fill missing with 'None',ordinal encoding,,,,,,,,,,,,,,,,,,,,ordinal,True,False,True,4,0.0027,2.53,absence-related,89.79,highly dominated,low,low,0.14,low rare impact,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,ordinal,True,False,True,low,2.53,absence-related,fill with None,low rare impact,rare grouping optional,highly dominated,89.79,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
BsmtExposure,object,object_dtype_columns,ordinal,low_cardinality,True,False,True,False,True,4,0.0027,38,2.6,"No, Gd, Mn, Av",object,38,2.6,low,True,absence-related,fill with 'None',missing likely means feature absence,ordinal,True,False,True,4,0.0027,low,4,ordinal encoding,one-hot if order is uncertain,low,"Feature has meaningful order/ranking, so ordinal encoding preserves category order.",False,False,False,False,False,ordinal,True,False,True,4,No,953,65.27,Av,221,15.14,moderately dominated,keep but monitor,ordinal,True,False,True,4,1.0,0,0,0.0,,no rare category,no rare grouping needed,ordinal,True,False,True,4,4,4,0,0,0,0.0,1.0,,,perfect match,safe for encoding,4.0,"Av, Gd, Mn, No, None",38.0,2.6,True,True,5.0,0.0,,ready,fill missing with 'None',ordinal encoding,,,,,,,,,,,,,,,,,,,,ordinal,True,False,True,4,0.0027,2.6,absence-related,65.27,moderately dominated,low,low,0.0,no rare category,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,ordinal,True,False,True,low,2.6,absence-related,fill with None,no rare category,no rare grouping needed,moderately dominated,65.27,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
BsmtFinType1,object,object_dtype_columns,ordinal,low_cardinality,True,False,True,False,True,6,0.0041,37,2.53,"GLQ, ALQ, Unf, Rec, BLQ",object,37,2.53,low,True,absence-related,fill with 'None',missing likely means feature absence,ordinal,True,False,True,6,0.0041,low,6,ordinal encoding,one-hot if order is uncertain,low,"Feature has meaningful order/ranking, so ordinal encoding preserves category order.",False,False,False,False,False,ordinal,True,False,True,6,Unf,430,29.45,GLQ,418,28.63,balanced,keep,ordinal,True,False,True,6,1.0,0,0,0.0,,no rare category,no rare grouping needed,ordinal,True,False,True,6,6,6,0,0,0,0.0,1.0,,,perfect match,safe for encoding,6.0,"ALQ, BLQ, GLQ, LwQ, None, Rec, Unf",37.0,2.53,True,True,7.0,0.0,,ready,fill missing with 'None',ordinal encoding,,,,,,,,,,,,,,,,,,,,ordinal,True,False,True,6,0.0041,2.53,absence-related,29.45,balanced,low,low,0.0,no rare category,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,ordinal,True,False,True,low,2.53,absence-related,fill with None,no rare category,no rare grouping needed,balanced,29.45,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
BsmtFinType2,object,object_dtype_columns,ordinal,low_cardinality,True,False,True,False,True,6,0.0041,38,2.6,"Unf, BLQ, ALQ, Rec, LwQ",object,38,2.6,low,True,absence-related,fill with 'None',missing likely means feature absence,ordinal,True,False,True,6,0.0041,low,6,ordinal encoding,one-hot if order is uncertain,low,"Feature has meaningful order/ranking, so ordinal encoding preserves category order.",False,False,False,False,False,ordinal,True,False,True,6,Unf,1256,86.03,Rec,54,3.7,highly dominated,review usefulness,ordinal,True,False,True,6,1.0,1,14,0.96,GLQ,low rare impact,rare grouping optional,ordinal,True,False,True,6,6,6,0,0,0,0.0,1.0,,,perfect match,safe for encoding,6.0,"ALQ, BLQ, GLQ, LwQ, None, Rec, Unf",38.0,2.6,True,True,7.0,0.0,,ready,fill missing with 'None',ordinal encoding,,,,,,,,,,,,,,,,,,,,ordinal,True,False,True,6,0.0041,2.6,absence-related,86.03,highly dominated,low,low,0.96,low rare impact,0,perfect match,False,False,False,False,False,False,False,0,no major univariate drop risk,keep,ordinal,True,False,True,low,2.6,absence-related,fill with None,low rare impact,rare grouping optional,highly dominated,86.03,perfect match,0,ready,ordinal encoding,ordinal encoding,OrdinalEncoder unknown_value=-1,safe ordinal encoder,low,keep,no major univariate drop risk,keep + encode
