column_name,dtype,missing_count,missing_percentage,missing_status,zero_count,zero_percentage,skewness,target_median_when_missing,target_median_when_not_missing,target_gap_percentage,imputation_hint,mean,median,mode,mode_percentage,q1,q3,iqr,mean_median_gap,mean_median_gap_percentage,gap_to_iqr_percentage,center_stability,imputation_candidate,min,max,range,variance,std,lower_iqr_bound,upper_iqr_bound,mad,robust_mad,iqr_to_range_ratio,spread_level,P01,P05,P25,P50,P75,P95,P99,upper_tail_gap,upper_tail_gap_percentage,lower_tail_gap,lower_tail_gap_percentage,P95_P99_gap,P01_P05_gap,upper_tail_label,lower_tail_label,percentile_review,unique_count,distribution_zero_percentage,kurtosis,distribution_shape,tail_behavior,zero_behavior,transformation_candidate,distribution_review,test_skewness,test_zero_percentage,train_test_distribution,transform_zero_percentage,special_missing_count,special_missing_percentage,special_zero_count,special_zero_percentage,special_zero_status,negative_count,negative_percentage,sentinel_count,sentinel_values_found,absence_like_zero,non_zero_count,non_zero_percentage,non_zero_min,non_zero_median,non_zero_mean,non_zero_max,special_value_action,final_zero_percentage,is_missing_feature,needs_center_review,needs_percentile_review,needs_distribution_review,needs_special_value_review,is_zero_heavy_feature,has_negative_or_sentinel_flag
GrLivArea,int64,0,0.0,no missing,0,0.0,1.367,,,,No imputation needed,1515.46,1464.0,864.0,1.51,1129.5,1776.75,647.25,51.46,3.52,7.95,stable,mean or median,334.0,5642.0,5308.0,276129.63,525.48,158.62,2747.62,326.0,483.33,0.1219,moderate spread,692.18,848.0,1129.5,1464.0,1776.75,2466.1,3123.48,2518.52,47.45,358.18,6.75,657.38,155.82,extreme upper tail,normal lower tail,review needed,861,0.0,4.895,highly right-skewed,extreme heavy tail,not zero-heavy,log1p,review needed,1.13,0.0,similar,0.0,0,0.0,0,0.0,no zero,0,0.0,0,,False,1460,100.0,334.0,1464.0,1515.46,5642.0,keep,0.0,False,False,True,True,False,False,False
BsmtFullBath,int64,0,0.0,no missing,856,58.63,0.596,,,,No imputation needed,0.43,0.0,0.0,58.63,0.0,1.0,1.0,0.43,,42.53,shifted,median / transformation check,0.0,3.0,3.0,0.27,0.52,-1.5,2.5,0.0,0.0,0.3333,wide spread,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,33.33,0.0,0.0,1.0,0.0,extreme upper tail,normal lower tail,review needed,4,58.63,-0.839,moderately right-skewed,near-normal tail,moderately zero-heavy,log1p + binary indicator,review needed,0.65,58.27,similar,58.63,0,0.0,856,58.63,zero-heavy,0,0.0,0,,True,604,41.37,1.0,1.0,1.03,3.0,create binary indicator + keep raw/log1p,58.63,False,True,True,True,True,True,False
BsmtHalfBath,int64,0,0.0,no missing,1378,94.38,4.103,,,,No imputation needed,0.06,0.0,0.0,94.38,0.0,0.0,0.0,0.06,,,zero-dominated,zero/indicator check,0.0,2.0,2.0,0.06,0.24,0.0,0.0,0.0,0.0,0.0,very low spread,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,extreme upper tail,normal lower tail,review needed,3,94.38,16.397,highly right-skewed,extreme heavy tail,highly zero-heavy,log1p + binary indicator,review needed,3.78,93.62,similar,94.38,0,0.0,1378,94.38,zero-dominated,0,0.0,0,,True,82,5.62,1.0,1.0,1.02,2.0,create binary indicator + keep raw/log1p,94.38,False,True,True,True,True,True,False
FullBath,int64,0,0.0,no missing,9,0.62,0.037,,,,No imputation needed,1.57,2.0,2.0,52.6,1.0,2.0,1.0,-0.43,-21.75,43.49,shifted,median / transformation check,0.0,3.0,3.0,0.3,0.55,-0.5,3.5,0.0,0.0,0.3333,wide spread,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,33.33,1.0,0.0,normal upper tail,extreme lower tail,review needed,4,0.62,-0.857,approximately symmetric,near-normal tail,not zero-heavy,no transform,normal,0.296,0.21,similar,0.62,0,0.0,9,0.62,low zero,0,0.0,0,,False,1451,99.38,1.0,2.0,1.57,3.0,keep,0.62,False,True,True,False,False,False,False
HalfBath,int64,0,0.0,no missing,913,62.53,0.676,,,,No imputation needed,0.38,0.0,0.0,62.53,0.0,1.0,1.0,0.38,,38.29,shifted,median / transformation check,0.0,2.0,2.0,0.25,0.5,-1.5,2.5,0.0,0.0,0.5,wide spread,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,extreme upper tail,normal lower tail,review needed,3,62.53,-1.077,moderately right-skewed,light tail,moderately zero-heavy,log1p + binary indicator,review needed,0.715,63.13,similar,62.53,0,0.0,913,62.53,zero-heavy,0,0.0,0,,False,547,37.47,1.0,1.0,1.02,2.0,check zero/non-zero split,62.53,False,True,True,True,True,True,False
BedroomAbvGr,int64,0,0.0,no missing,6,0.41,0.212,,,,No imputation needed,2.87,3.0,3.0,55.07,2.0,3.0,1.0,-0.13,-4.45,13.36,stable,mean or median,0.0,8.0,8.0,0.67,0.82,0.5,4.5,0.0,0.0,0.125,moderate spread,1.0,2.0,2.0,3.0,3.0,4.0,5.0,3.0,37.5,1.0,12.5,1.0,1.0,extreme upper tail,moderate lower tail,review needed,8,0.41,2.231,approximately symmetric,heavy tail,not zero-heavy,review,optional review,0.437,0.14,similar,0.41,0,0.0,6,0.41,low zero,0,0.0,0,,False,1454,99.59,1.0,3.0,2.88,8.0,keep,0.41,False,False,True,True,False,False,False
KitchenAbvGr,int64,0,0.0,no missing,1,0.07,4.488,,,,No imputation needed,1.05,1.0,1.0,95.34,1.0,1.0,0.0,0.05,4.66,,mode-dominated,median / transformation check,0.0,3.0,3.0,0.05,0.22,1.0,1.0,0.0,0.0,0.0,very low spread,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,33.33,1.0,33.33,1.0,0.0,extreme upper tail,extreme lower tail,review needed,4,0.07,21.532,highly right-skewed,extreme heavy tail,not zero-heavy,log1p,review needed,4.079,0.14,similar,0.07,0,0.0,1,0.07,low zero,0,0.0,0,,False,1459,99.93,1.0,1.0,1.05,3.0,keep,0.07,False,True,True,True,False,False,False
TotRmsAbvGrd,int64,0,0.0,no missing,0,0.0,0.676,,,,No imputation needed,6.52,6.0,6.0,27.53,5.0,7.0,2.0,0.52,8.63,25.89,slightly shifted,median preferred,2.0,14.0,12.0,2.64,1.63,2.0,10.0,1.0,1.48,0.1667,moderate spread,3.0,4.0,5.0,6.0,7.0,10.0,11.0,3.0,25.0,1.0,8.33,1.0,1.0,extreme upper tail,normal lower tail,review needed,12,0.0,0.881,moderately right-skewed,near-normal tail,not zero-heavy,sqrt or log1p,optional review,0.843,0.0,similar,0.0,0,0.0,0,0.0,no zero,0,0.0,0,,False,1460,100.0,2.0,6.0,6.52,14.0,keep,0.0,False,False,True,True,False,False,False
Fireplaces,int64,0,0.0,no missing,690,47.26,0.65,,,,No imputation needed,0.61,1.0,0.0,47.26,0.0,1.0,1.0,-0.39,-38.7,38.7,shifted,median / transformation check,0.0,3.0,3.0,0.42,0.64,-1.5,2.5,1.0,1.48,0.3333,wide spread,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,33.33,0.0,0.0,0.0,0.0,extreme upper tail,normal lower tail,review needed,4,47.26,-0.217,moderately right-skewed,near-normal tail,not zero-heavy,sqrt or log1p,optional review,0.82,50.03,similar,47.26,0,0.0,690,47.26,moderate zero,0,0.0,0,,False,770,52.74,1.0,1.0,1.16,3.0,keep,47.26,False,True,True,True,False,False,False
GarageCars,int64,0,0.0,no missing,81,5.55,-0.343,,,,No imputation needed,1.77,2.0,2.0,56.44,1.0,2.0,1.0,-0.23,-11.64,23.29,slightly shifted,median preferred,0.0,4.0,4.0,0.56,0.75,-0.5,3.5,0.0,0.0,0.25,wide spread,0.0,0.0,1.0,2.0,2.0,3.0,3.0,1.0,25.0,0.0,0.0,0.0,0.0,extreme upper tail,normal lower tail,review needed,5,5.55,0.221,approximately symmetric,near-normal tail,not zero-heavy,no transform,normal,-0.107,5.21,similar,5.55,0,0.0,81,5.55,low zero,0,0.0,0,,False,1379,94.45,1.0,2.0,1.87,4.0,keep,5.55,False,False,True,False,False,False,False
GarageArea,int64,0,0.0,no missing,81,5.55,0.18,,,,No imputation needed,472.98,480.0,0.0,5.55,334.5,576.0,241.5,-7.02,-1.46,2.91,stable,mean or median,0.0,1418.0,1418.0,45712.51,213.8,-27.75,938.25,120.0,177.91,0.1703,moderate spread,0.0,0.0,334.5,480.0,576.0,850.1,1002.79,415.21,29.28,0.0,0.0,152.69,0.0,extreme upper tail,normal lower tail,review needed,441,5.55,0.917,approximately symmetric,near-normal tail,not zero-heavy,no transform,normal,0.3,5.21,similar,5.55,0,0.0,81,5.55,low zero,0,0.0,0,,False,1379,94.45,160.0,484.0,500.76,1418.0,keep,5.55,False,False,True,False,False,False,False
WoodDeckSF,int64,0,0.0,no missing,761,52.12,1.541,,,,No imputation needed,94.24,0.0,0.0,52.12,0.0,168.0,168.0,94.24,,56.1,shifted,median / transformation check,0.0,857.0,857.0,15709.81,125.34,-252.0,420.0,0.0,0.0,0.196,moderate spread,0.0,0.0,0.0,0.0,168.0,335.0,505.46,351.54,41.02,0.0,0.0,170.46,0.0,extreme upper tail,normal lower tail,review needed,274,52.12,2.993,highly right-skewed,heavy tail,moderately zero-heavy,log1p + binary indicator,review needed,2.131,52.23,possible mismatch,52.12,0,0.0,761,52.12,zero-heavy,0,0.0,0,,True,699,47.88,12.0,171.0,196.85,857.0,create binary indicator + keep raw/log1p,52.12,False,True,True,True,True,True,False
OpenPorchSF,int64,0,0.0,no missing,656,44.93,2.364,,,,No imputation needed,46.66,25.0,0.0,44.93,0.0,68.0,68.0,21.66,86.64,31.85,shifted,median / transformation check,0.0,547.0,547.0,4389.86,66.26,-102.0,170.0,25.0,37.06,0.1243,moderate spread,0.0,0.0,0.0,25.0,68.0,175.05,285.82,261.18,47.75,0.0,0.0,110.77,0.0,extreme upper tail,normal lower tail,review needed,202,44.93,8.49,highly right-skewed,extreme heavy tail,not zero-heavy,log1p,review needed,2.688,44.0,similar,44.93,0,0.0,656,44.93,moderate zero,0,0.0,0,,False,804,55.07,4.0,63.0,84.73,547.0,keep,44.93,False,True,True,True,False,False,False
EnclosedPorch,int64,0,0.0,no missing,1252,85.75,3.09,,,,No imputation needed,21.95,0.0,0.0,85.75,0.0,0.0,0.0,21.95,,,zero-dominated,zero/indicator check,0.0,552.0,552.0,3735.55,61.12,0.0,0.0,0.0,0.0,0.0,very low spread,0.0,0.0,0.0,0.0,0.0,180.15,261.05,290.95,52.71,0.0,0.0,80.9,0.0,extreme upper tail,normal lower tail,review needed,120,85.75,10.431,highly right-skewed,extreme heavy tail,highly zero-heavy,log1p + binary indicator,review needed,4.669,82.8,possible mismatch,85.75,0,0.0,1252,85.75,zero-dominated,0,0.0,0,,True,208,14.25,19.0,144.5,154.1,552.0,create binary indicator + keep raw/log1p,85.75,False,True,True,True,True,True,False
3SsnPorch,int64,0,0.0,no missing,1436,98.36,10.304,,,,No imputation needed,3.41,0.0,0.0,98.36,0.0,0.0,0.0,3.41,,,zero-dominated,zero/indicator check,0.0,508.0,508.0,859.51,29.32,0.0,0.0,0.0,0.0,0.0,very low spread,0.0,0.0,0.0,0.0,0.0,0.0,168.0,340.0,66.93,0.0,0.0,168.0,0.0,extreme upper tail,normal lower tail,review needed,20,98.36,123.662,highly right-skewed,extreme heavy tail,highly zero-heavy,log1p + binary indicator,review needed,12.524,99.11,possible mismatch,98.36,0,0.0,1436,98.36,zero-dominated,0,0.0,0,,True,24,1.64,23.0,180.0,207.42,508.0,create binary indicator + keep raw/log1p,98.36,False,True,True,True,True,True,False
ScreenPorch,int64,0,0.0,no missing,1344,92.05,4.122,,,,No imputation needed,15.06,0.0,0.0,92.05,0.0,0.0,0.0,15.06,,,zero-dominated,zero/indicator check,0.0,480.0,480.0,3108.89,55.76,0.0,0.0,0.0,0.0,0.0,very low spread,0.0,0.0,0.0,0.0,0.0,160.0,268.05,211.95,44.16,0.0,0.0,108.05,0.0,extreme upper tail,normal lower tail,review needed,76,92.05,18.439,highly right-skewed,extreme heavy tail,highly zero-heavy,log1p + binary indicator,review needed,3.788,90.4,similar,92.05,0,0.0,1344,92.05,zero-dominated,0,0.0,0,,True,116,7.95,40.0,180.0,189.56,480.0,create binary indicator + keep raw/log1p,92.05,False,True,True,True,True,True,False
PoolArea,int64,0,0.0,no missing,1453,99.52,14.828,,,,No imputation needed,2.76,0.0,0.0,99.52,0.0,0.0,0.0,2.76,,,zero-dominated,zero/indicator check,0.0,738.0,738.0,1614.22,40.18,0.0,0.0,0.0,0.0,0.0,very low spread,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.0,100.0,0.0,0.0,0.0,0.0,extreme upper tail,normal lower tail,review needed,8,99.52,223.268,highly right-skewed,extreme heavy tail,highly zero-heavy,log1p + binary indicator,review needed,20.197,99.59,possible mismatch,99.52,0,0.0,1453,99.52,zero-dominated,0,0.0,0,,True,7,0.48,480.0,555.0,575.43,738.0,create binary indicator + keep raw/log1p,99.52,False,True,True,True,True,True,False
MiscVal,int64,0,0.0,no missing,1408,96.44,24.477,,,,No imputation needed,43.49,0.0,0.0,96.44,0.0,0.0,0.0,43.49,,,zero-dominated,zero/indicator check,0.0,15500.0,15500.0,246138.06,496.12,0.0,0.0,0.0,0.0,0.0,very low spread,0.0,0.0,0.0,0.0,0.0,0.0,700.0,14800.0,95.48,0.0,0.0,700.0,0.0,extreme upper tail,normal lower tail,review needed,21,96.44,701.003,highly right-skewed,extreme heavy tail,highly zero-heavy,log1p + binary indicator,review needed,20.075,96.5,possible mismatch,96.44,0,0.0,1408,96.44,zero-dominated,0,0.0,0,,True,52,3.56,54.0,500.0,1221.04,15500.0,create binary indicator + keep raw/log1p,96.44,False,True,True,True,True,True,False
