,column,pandas_dtype,auto_detected_type,final_corrected_type,missing_values,missing_percentage,unique_values,unique_percentage
49,FullBath,int64,numeric,numeric,0,0.0,4,0.27
50,HalfBath,int64,numeric,numeric,0,0.0,3,0.21
51,BedroomAbvGr,int64,numeric,numeric,0,0.0,8,0.55
52,KitchenAbvGr,int64,numeric,numeric,0,0.0,4,0.27
53,KitchenQual,object,categorical,object_dtype_columns,0,0.0,4,0.27
54,TotRmsAbvGrd,int64,numeric,numeric,0,0.0,12,0.82
55,Functional,object,categorical,object_dtype_columns,0,0.0,7,0.48
56,Fireplaces,int64,numeric,numeric,0,0.0,4,0.27
57,FireplaceQu,object,categorical,object_dtype_columns,690,47.26,5,0.34
58,GarageType,object,categorical,object_dtype_columns,81,5.55,6,0.41
59,GarageYrBlt,float64,numeric,year_like,81,5.55,97,6.64
60,GarageFinish,object,categorical,object_dtype_columns,81,5.55,3,0.21
61,GarageCars,int64,numeric,numeric,0,0.0,5,0.34
62,GarageArea,int64,numeric,numeric,0,0.0,441,30.21
63,GarageQual,object,categorical,object_dtype_columns,81,5.55,5,0.34
64,GarageCond,object,categorical,object_dtype_columns,81,5.55,5,0.34
65,PavedDrive,object,categorical,object_dtype_columns,0,0.0,3,0.21
66,WoodDeckSF,int64,numeric,numeric,0,0.0,274,18.77
67,OpenPorchSF,int64,numeric,numeric,0,0.0,202,13.84
68,EnclosedPorch,int64,numeric,numeric,0,0.0,120,8.22
69,3SsnPorch,int64,numeric,numeric,0,0.0,20,1.37
70,ScreenPorch,int64,numeric,numeric,0,0.0,76,5.21
71,PoolArea,int64,numeric,numeric,0,0.0,8,0.55
72,PoolQC,object,categorical,object_dtype_columns,1453,99.52,3,0.21
73,Fence,object,categorical,object_dtype_columns,1179,80.75,4,0.27
74,MiscFeature,object,categorical,object_dtype_columns,1406,96.3,4,0.27
75,MiscVal,int64,numeric,numeric,0,0.0,21,1.44
76,MoSold,int64,numeric,month_like,0,0.0,12,0.82
77,YrSold,int64,numeric,year_like,0,0.0,5,0.34
78,SaleType,object,categorical,object_dtype_columns,0,0.0,9,0.62
79,SaleCondition,object,categorical,object_dtype_columns,0,0.0,6,0.41
80,SalePrice,int64,numeric,target,0,0.0,663,45.41
