component_group,feature_name,feature_dtype,metric_name,raw_metric_value,component_signal_score,signal_strength,unique_count
garage,GarageFinish,object,sqrt_eta_squared,0.3059,0.5531,moderate,3
garage,GarageType,object,sqrt_eta_squared,0.2492,0.4992,moderate,6
garage,GarageQual,object,sqrt_eta_squared,0.0814,0.2853,weak,5
garage,GarageCond,object,sqrt_eta_squared,0.0813,0.2852,weak,5
location_zoning,Neighborhood,object,sqrt_eta_squared,0.5456,0.7386,strong,25
location_zoning,MSZoning,object,sqrt_eta_squared,0.1076,0.328,weak,5
location_zoning,Condition1,object,sqrt_eta_squared,0.0326,0.1806,very weak,9
location_zoning,LandContour,object,sqrt_eta_squared,0.0258,0.1606,very weak,4
location_zoning,LotConfig,object,sqrt_eta_squared,0.021,0.145,very weak,5
location_zoning,Condition2,object,sqrt_eta_squared,0.0099,0.0995,very weak,8
luxury_sparse,FireplaceQu,object,sqrt_eta_squared,0.294,0.5422,moderate,5
luxury_sparse,Fireplaces,int64,abs_spearman_corr,0.5192,0.5192,moderate,4
luxury_sparse,PoolQC,object,sqrt_eta_squared,0.0212,0.1456,very weak,3
luxury_sparse,MiscFeature,object,sqrt_eta_squared,0.0071,0.0841,very weak,4
luxury_sparse,MiscVal,int64,abs_spearman_corr,-0.0627,0.0627,very weak,21
luxury_sparse,PoolArea,int64,abs_spearman_corr,0.0585,0.0585,very weak,8
outdoor_porch,OpenPorchSF,int64,abs_spearman_corr,0.4776,0.4776,moderate,202
outdoor_porch,OutdoorSF,int64,abs_spearman_corr,0.4252,0.4252,moderate,427
outdoor_porch,WoodDeckSF,int64,abs_spearman_corr,0.3538,0.3538,weak,274
outdoor_porch,TotalPorchSF,int64,abs_spearman_corr,0.2727,0.2727,weak,287
outdoor_porch,EnclosedPorch,int64,abs_spearman_corr,-0.2184,0.2184,weak,120
outdoor_porch,Fence,object,sqrt_eta_squared,0.0356,0.1887,very weak,4
outdoor_porch,ScreenPorch,int64,abs_spearman_corr,0.1001,0.1001,very weak,76
outdoor_porch,3SsnPorch,int64,abs_spearman_corr,0.0654,0.0654,very weak,20
quality_condition,OverallQual_x_TotalSF,int64,abs_spearman_corr,0.8939,0.8939,strong,1168
quality_condition,OverallQual_x_GrLivArea,int64,abs_spearman_corr,0.8529,0.8529,strong,1133
quality_condition,OverallQual_x_TotalBath,float64,abs_spearman_corr,0.8395,0.8395,strong,36
quality_condition,OverallQual,int64,abs_spearman_corr,0.8098,0.8098,strong,10
quality_condition,ExterQual,object,sqrt_eta_squared,0.4774,0.6909,strong,4
quality_condition,BsmtQual,object,sqrt_eta_squared,0.465,0.6819,strong,4
quality_condition,KitchenQual,object,sqrt_eta_squared,0.4566,0.6757,strong,4
quality_condition,FireplaceQu,object,sqrt_eta_squared,0.294,0.5422,moderate,5
quality_condition,HeatingQC,object,sqrt_eta_squared,0.1955,0.4422,moderate,5
quality_condition,GarageQual,object,sqrt_eta_squared,0.0814,0.2853,weak,5
quality_condition,GarageCond,object,sqrt_eta_squared,0.0813,0.2852,weak,5
quality_condition,BsmtCond,object,sqrt_eta_squared,0.0514,0.2267,weak,4
quality_condition,ExterCond,object,sqrt_eta_squared,0.0236,0.1537,very weak,5
quality_condition,PoolQC,object,sqrt_eta_squared,0.0212,0.1456,very weak,3
quality_condition,OverallCond,int64,abs_spearman_corr,-0.1293,0.1293,very weak,9
sale_transaction,SaleType,object,sqrt_eta_squared,0.1373,0.3705,weak,9
sale_transaction,SaleCondition,object,sqrt_eta_squared,0.1355,0.3681,weak,6
time_age,YearBuilt,int64,abs_spearman_corr,0.6527,0.6527,strong,112
time_age,HouseAge,int64,abs_spearman_corr,-0.6501,0.6501,strong,122
time_age,RemodAge,int64,abs_spearman_corr,-0.5766,0.5766,moderate,61
time_age,YearRemodAdd,int64,abs_spearman_corr,0.5712,0.5712,moderate,61
time_age,GarageYrBlt,float64,abs_spearman_corr,0.5633,0.5633,moderate,97
time_age,GarageAge,float64,abs_spearman_corr,-0.5625,0.5625,moderate,101
time_age,MoSold,int64,abs_spearman_corr,0.0694,0.0694,very weak,12
time_age,YrSold,int64,abs_spearman_corr,-0.0299,0.0299,very weak,5
utilities_access,CentralAir,object,sqrt_eta_squared,0.0632,0.2513,weak,2
utilities_access,Electrical,object,sqrt_eta_squared,0.0597,0.2443,weak,5
utilities_access,PavedDrive,object,sqrt_eta_squared,0.0545,0.2335,weak,3
utilities_access,Alley,object,sqrt_eta_squared,0.0204,0.1429,very weak,2
utilities_access,Functional,object,sqrt_eta_squared,0.0165,0.1284,very weak,7
utilities_access,Heating,object,sqrt_eta_squared,0.0144,0.1202,very weak,6
utilities_access,Street,object,sqrt_eta_squared,0.0017,0.041,very weak,2
utilities_access,Utilities,object,sqrt_eta_squared,0.0002,0.0143,very weak,2
