feature,train_min,test_min,train_max,test_max,train_skew_before,eligible_for_log1p,transformation,train_skew_after
OverallQual_x_TotalSF,334.0,733.0,68720.0,101900.0,1.3930508341650005,True,log1p in-place,-0.5916966222825001
ExterQual_Ord_x_GrLivArea,668.0,1198.0,21580.0,25475.0,1.3633202166338398,True,log1p in-place,0.05226081605623067
Neighborhood_TE_x_GarageScore,0.0,0.0,64878.26678295067,69947.99289658526,1.264425075117169,True,log1p in-place,-3.2542094824346885
Neighborhood_TE_x_BasementQualityAreaScore,0.0,0.0,193144.65847886697,299569.3043031542,1.260222631892581,True,log1p in-place,-5.348624266077562
GarageScore,0.0,0.0,5424.0,5952.0,1.243305748608736,True,log1p in-place,-2.853434402285842
BasementScore,0.0,0.0,15470.0,25475.0,1.1983470077213034,True,log1p in-place,-4.981492505354687
BsmtQual_Ord_x_TotalBsmtSF,0.0,0.0,15470.0,25475.0,1.1983470077213034,True,log1p in-place,-4.981492505354687
BasementQualityAreaScore,0.0,0.0,15470.0,25475.0,1.1983470077213034,True,log1p in-place,-4.981492505354687
Neighborhood_TE_x_GrLivArea,3934.757654417708,4783.070078781956,55658.71248522495,59913.86086063083,1.0270903506396616,True,log1p in-place,-0.06718578304218922
GrLivArea,334.0,407.0,4476.0,5095.0,1.0109917025385513,True,log1p in-place,-0.07101223069081386
Neighborhood_TE_x_1stFlrSF,3934.757654417708,4783.070078781956,40061.19758255748,59913.86086063083,0.9295726075548224,True,log1p in-place,0.029145719640307422
BsmtUnfSF,0.0,0.0,2336.0,2140.0,0.9209029282647685,True,log1p in-place,-2.184367373791437
GarageFinishAreaScore,0.0,0.0,4068.0,3942.0,0.916254877011135,True,log1p in-place,-2.8518201417457774
GarageFinish_Ord_x_GarageArea,0.0,0.0,4068.0,3942.0,0.916254877011135,True,log1p in-place,-2.8518201417457774
1stFlrSF,334.0,407.0,3228.0,5095.0,0.887636603215269,True,log1p in-place,0.006983649145683015
OverallQual_x_RoomSizeAvg,111.33333333333333,146.6,4069.0909090909095,3332.0,0.8750157982980385,True,log1p in-place,-0.4469327456284006
Neighborhood_TE_x_LivingPlusBasementSF,3934.757654417708,7192.233140576307,85452.78646078326,119827.72172126167,0.864882908521833,True,log1p in-place,-0.4243303417397106
Neighborhood_TE_x_TotalSF,3934.757654417708,7192.233140576307,85452.78646078326,119827.72172126167,0.8556839128570343,True,log1p in-place,-0.42849552627449156
Neighborhood_TE_x_2ndFlrSF,0.0,0.0,25678.114674260392,22969.530346012874,0.8375441625249663,True,log1p in-place,0.2860275304392141
LivingPlusBasementSF,334.0,612.0,6872.0,10190.0,0.8170807751121343,True,log1p in-place,-0.4651572752940693
2ndFlrSF,0.0,0.0,2065.0,1862.0,0.8129574992560771,True,log1p in-place,0.29278371306638834
TotalSF,334.0,612.0,6872.0,10190.0,0.8043214250474244,True,log1p in-place,-0.47043415439617786
BsmtFinSF1,0.0,0.0,2188.0,4010.0,0.7647894513451676,True,log1p in-place,-0.6180960733532069
OverallQual_x_TotalBath,1.0,1.0,45.0,49.0,0.6891520758293854,True,log1p in-place,-0.3761594329552051
RoomSizeAvg,96.0,101.75,406.90909090909093,459.0,0.62589810583026,True,log1p in-place,-0.016146242659845288
FinishedBasementSF,0.0,0.0,2306.0,4010.0,0.6069818557731115,True,log1p in-place,-0.6443374856303707
Neighborhood_TE_x_TotalBsmtSF,0.0,0.0,40044.68005331961,59913.86086063083,0.5977536107403381,True,log1p in-place,-5.518888625879029
TotalBsmtSF,0.0,0.0,3206.0,5095.0,0.5117033418828824,True,log1p in-place,-5.172315186416781
LuxuryAreaScore,29.07065265912533,39.59105417168709,291.02456087399236,295.3363282185182,0.382591334212389,True,log1p in-place,-0.3589487517766048
LuxuryNeighborhoodScore,58.9035577008639,69.89638194807836,412.2608898597862,412.3895141247523,0.36134865873117716,True,log1p in-place,-0.2668157491636494
Neighborhood_TE_x_TotalBath,11.639890974045928,11.649396991346393,70.5701793855871,84.51669954571545,0.25671580819451023,True,log1p in-place,-0.5161018065634744
GarageQualityAreaScore,0.0,0.0,4620.0,5392.0,0.24978940780337222,True,log1p in-place,-3.53861304581131
GarageQual_Ord_x_GarageArea,0.0,0.0,4620.0,5392.0,0.24978940780337222,True,log1p in-place,-3.53861304581131
TotalBath,1.0,1.0,6.0,7.0,0.24668739850732258,True,log1p in-place,-0.30799367055498145
Neighborhood_TE_x_GarageArea,0.0,0.0,17340.07481326942,17486.998224146315,0.19001259614882754,True,log1p in-place,-3.6607020763824023
GarageArea,0.0,0.0,1390.0,1488.0,0.13174798037584048,True,log1p in-place,-3.482852590046287
GarageAreaPerCar,0.0,0.0,462.0,368.3333333333333,-0.7872066277597038,True,log1p in-place,-3.6821072075260113
