feature_index,feature,feature_group,dtype,train_unique,test_unique
90,GarageFinish_Ord_x_GarageArea,log_transformed_numeric,float64,597,621
91,GarageQual_Ord_x_GarageArea,log_transformed_numeric,float64,466,488
92,MSSubClass__120,onehot_categorical,uint8,2,2
93,MSSubClass__160,onehot_categorical,uint8,2,2
94,MSSubClass__180,onehot_categorical,uint8,2,2
95,MSSubClass__190,onehot_categorical,uint8,2,2
96,MSSubClass__20,onehot_categorical,uint8,2,2
97,MSSubClass__30,onehot_categorical,uint8,2,2
98,MSSubClass__45,onehot_categorical,uint8,2,2
99,MSSubClass__50,onehot_categorical,uint8,2,2
100,MSSubClass__60,onehot_categorical,uint8,2,2
101,MSSubClass__70,onehot_categorical,uint8,2,2
102,MSSubClass__75,onehot_categorical,uint8,2,2
103,MSSubClass__80,onehot_categorical,uint8,2,2
104,MSSubClass__85,onehot_categorical,uint8,2,2
105,MSSubClass__90,onehot_categorical,uint8,2,2
106,MSSubClass__Rare,onehot_categorical,uint8,2,2
107,MSZoning__C (all),onehot_categorical,uint8,2,2
108,MSZoning__FV,onehot_categorical,uint8,2,2
109,MSZoning__RH,onehot_categorical,uint8,2,2
110,MSZoning__RL,onehot_categorical,uint8,2,2
111,MSZoning__RM,onehot_categorical,uint8,2,2
112,Street__Grvl,onehot_categorical,uint8,2,2
113,Street__Pave,onehot_categorical,uint8,2,2
114,Alley__Grvl,onehot_categorical,uint8,2,2
115,Alley__NoFeature,onehot_categorical,uint8,2,2
116,Alley__Pave,onehot_categorical,uint8,2,2
117,LotShape__IR1,onehot_categorical,uint8,2,2
118,LotShape__IR2,onehot_categorical,uint8,2,2
119,LotShape__IR3,onehot_categorical,uint8,2,2
120,LotShape__Reg,onehot_categorical,uint8,2,2
121,LandContour__Bnk,onehot_categorical,uint8,2,2
122,LandContour__HLS,onehot_categorical,uint8,2,2
123,LandContour__Low,onehot_categorical,uint8,2,2
124,LandContour__Lvl,onehot_categorical,uint8,2,2
125,Utilities__AllPub,onehot_categorical,uint8,2,1
126,Utilities__NoSeWa,onehot_categorical,uint8,2,1
127,LotConfig__Corner,onehot_categorical,uint8,2,2
128,LotConfig__CulDSac,onehot_categorical,uint8,2,2
129,LotConfig__FR2,onehot_categorical,uint8,2,2
130,LotConfig__FR3,onehot_categorical,uint8,2,2
131,LotConfig__Inside,onehot_categorical,uint8,2,2
132,LandSlope__Gtl,onehot_categorical,uint8,2,2
133,LandSlope__Mod,onehot_categorical,uint8,2,2
134,LandSlope__Sev,onehot_categorical,uint8,2,2
135,Neighborhood__Blmngtn,onehot_categorical,uint8,2,2
136,Neighborhood__BrDale,onehot_categorical,uint8,2,2
137,Neighborhood__BrkSide,onehot_categorical,uint8,2,2
138,Neighborhood__ClearCr,onehot_categorical,uint8,2,2
139,Neighborhood__CollgCr,onehot_categorical,uint8,2,2
140,Neighborhood__Crawfor,onehot_categorical,uint8,2,2
141,Neighborhood__Edwards,onehot_categorical,uint8,2,2
142,Neighborhood__Gilbert,onehot_categorical,uint8,2,2
143,Neighborhood__IDOTRR,onehot_categorical,uint8,2,2
144,Neighborhood__MeadowV,onehot_categorical,uint8,2,2
145,Neighborhood__Mitchel,onehot_categorical,uint8,2,2
146,Neighborhood__NAmes,onehot_categorical,uint8,2,2
147,Neighborhood__NWAmes,onehot_categorical,uint8,2,2
148,Neighborhood__NoRidge,onehot_categorical,uint8,2,2
149,Neighborhood__NridgHt,onehot_categorical,uint8,2,2
150,Neighborhood__OldTown,onehot_categorical,uint8,2,2
151,Neighborhood__Rare,onehot_categorical,uint8,2,2
152,Neighborhood__SWISU,onehot_categorical,uint8,2,2
153,Neighborhood__Sawyer,onehot_categorical,uint8,2,2
154,Neighborhood__SawyerW,onehot_categorical,uint8,2,2
155,Neighborhood__Somerst,onehot_categorical,uint8,2,2
156,Neighborhood__StoneBr,onehot_categorical,uint8,2,2
157,Neighborhood__Timber,onehot_categorical,uint8,2,2
158,Neighborhood__Veenker,onehot_categorical,uint8,2,2
159,Condition1__Artery,onehot_categorical,uint8,2,2
160,Condition1__Feedr,onehot_categorical,uint8,2,2
161,Condition1__Norm,onehot_categorical,uint8,2,2
162,Condition1__PosN,onehot_categorical,uint8,2,2
163,Condition1__RRAe,onehot_categorical,uint8,2,2
164,Condition1__RRAn,onehot_categorical,uint8,2,2
165,Condition1__Rare,onehot_categorical,uint8,2,2
166,Condition2__Norm,onehot_categorical,uint8,2,2
167,Condition2__Rare,onehot_categorical,uint8,2,2
168,BldgType__1Fam,onehot_categorical,uint8,2,2
169,BldgType__2fmCon,onehot_categorical,uint8,2,2
170,BldgType__Duplex,onehot_categorical,uint8,2,2
171,BldgType__Twnhs,onehot_categorical,uint8,2,2
172,BldgType__TwnhsE,onehot_categorical,uint8,2,2
173,HouseStyle__1.5Fin,onehot_categorical,uint8,2,2
174,HouseStyle__1.5Unf,onehot_categorical,uint8,2,2
175,HouseStyle__1Story,onehot_categorical,uint8,2,2
176,HouseStyle__2.5Unf,onehot_categorical,uint8,2,2
177,HouseStyle__2Story,onehot_categorical,uint8,2,2
178,HouseStyle__Rare,onehot_categorical,uint8,2,1
179,HouseStyle__SFoyer,onehot_categorical,uint8,2,2
180,HouseStyle__SLvl,onehot_categorical,uint8,2,2
181,RoofStyle__Flat,onehot_categorical,uint8,2,2
182,RoofStyle__Gable,onehot_categorical,uint8,2,2
183,RoofStyle__Gambrel,onehot_categorical,uint8,2,2
184,RoofStyle__Hip,onehot_categorical,uint8,2,2
185,RoofStyle__Rare,onehot_categorical,uint8,2,2
186,RoofMatl__CompShg,onehot_categorical,uint8,2,2
187,RoofMatl__Rare,onehot_categorical,uint8,2,2
188,RoofMatl__Tar&Grv,onehot_categorical,uint8,2,2
189,Exterior1st__AsbShng,onehot_categorical,uint8,2,2
190,Exterior1st__BrkFace,onehot_categorical,uint8,2,2
191,Exterior1st__CemntBd,onehot_categorical,uint8,2,2
192,Exterior1st__HdBoard,onehot_categorical,uint8,2,2
193,Exterior1st__MetalSd,onehot_categorical,uint8,2,2
194,Exterior1st__Plywood,onehot_categorical,uint8,2,2
195,Exterior1st__Rare,onehot_categorical,uint8,2,2
196,Exterior1st__Stucco,onehot_categorical,uint8,2,2
197,Exterior1st__VinylSd,onehot_categorical,uint8,2,2
198,Exterior1st__Wd Sdng,onehot_categorical,uint8,2,2
199,Exterior1st__WdShing,onehot_categorical,uint8,2,2
200,Exterior2nd__AsbShng,onehot_categorical,uint8,2,2
201,Exterior2nd__BrkFace,onehot_categorical,uint8,2,2
202,Exterior2nd__CmentBd,onehot_categorical,uint8,2,2
203,Exterior2nd__HdBoard,onehot_categorical,uint8,2,2
204,Exterior2nd__ImStucc,onehot_categorical,uint8,2,2
205,Exterior2nd__MetalSd,onehot_categorical,uint8,2,2
206,Exterior2nd__Plywood,onehot_categorical,uint8,2,2
207,Exterior2nd__Rare,onehot_categorical,uint8,2,2
208,Exterior2nd__Stucco,onehot_categorical,uint8,2,2
209,Exterior2nd__VinylSd,onehot_categorical,uint8,2,2
210,Exterior2nd__Wd Sdng,onehot_categorical,uint8,2,2
211,Exterior2nd__Wd Shng,onehot_categorical,uint8,2,2
212,MasVnrType__BrkCmn,onehot_categorical,uint8,2,2
213,MasVnrType__BrkFace,onehot_categorical,uint8,2,2
214,MasVnrType__NoFeature,onehot_categorical,uint8,2,2
215,MasVnrType__Stone,onehot_categorical,uint8,2,2
216,ExterQual__Ex,onehot_categorical,uint8,2,2
217,ExterQual__Fa,onehot_categorical,uint8,2,2
218,ExterQual__Gd,onehot_categorical,uint8,2,2
219,ExterQual__TA,onehot_categorical,uint8,2,2
220,ExterCond__Ex,onehot_categorical,uint8,2,2
221,ExterCond__Fa,onehot_categorical,uint8,2,2
222,ExterCond__Gd,onehot_categorical,uint8,2,2
223,ExterCond__Po,onehot_categorical,uint8,2,2
224,ExterCond__TA,onehot_categorical,uint8,2,2
225,Foundation__BrkTil,onehot_categorical,uint8,2,2
226,Foundation__CBlock,onehot_categorical,uint8,2,2
227,Foundation__PConc,onehot_categorical,uint8,2,2
228,Foundation__Slab,onehot_categorical,uint8,2,2
229,Foundation__Stone,onehot_categorical,uint8,2,2
230,Foundation__Wood,onehot_categorical,uint8,2,2
231,BsmtQual__Ex,onehot_categorical,uint8,2,2
232,BsmtQual__Fa,onehot_categorical,uint8,2,2
233,BsmtQual__Gd,onehot_categorical,uint8,2,2
234,BsmtQual__NoFeature,onehot_categorical,uint8,2,2
235,BsmtQual__TA,onehot_categorical,uint8,2,2
236,BsmtCond__Fa,onehot_categorical,uint8,2,2
237,BsmtCond__Gd,onehot_categorical,uint8,2,2
238,BsmtCond__NoFeature,onehot_categorical,uint8,2,2
239,BsmtCond__Po,onehot_categorical,uint8,2,2
240,BsmtCond__TA,onehot_categorical,uint8,2,2
241,BsmtExposure__Av,onehot_categorical,uint8,2,2
242,BsmtExposure__Gd,onehot_categorical,uint8,2,2
243,BsmtExposure__Mn,onehot_categorical,uint8,2,2
244,BsmtExposure__No,onehot_categorical,uint8,2,2
245,BsmtExposure__NoFeature,onehot_categorical,uint8,2,2
246,BsmtFinType1__ALQ,onehot_categorical,uint8,2,2
247,BsmtFinType1__BLQ,onehot_categorical,uint8,2,2
248,BsmtFinType1__GLQ,onehot_categorical,uint8,2,2
249,BsmtFinType1__LwQ,onehot_categorical,uint8,2,2
250,BsmtFinType1__NoFeature,onehot_categorical,uint8,2,2
251,BsmtFinType1__Rec,onehot_categorical,uint8,2,2
252,BsmtFinType1__Unf,onehot_categorical,uint8,2,2
253,BsmtFinType2__ALQ,onehot_categorical,uint8,2,2
254,BsmtFinType2__BLQ,onehot_categorical,uint8,2,2
255,BsmtFinType2__GLQ,onehot_categorical,uint8,2,2
256,BsmtFinType2__LwQ,onehot_categorical,uint8,2,2
257,BsmtFinType2__NoFeature,onehot_categorical,uint8,2,2
258,BsmtFinType2__Rec,onehot_categorical,uint8,2,2
259,BsmtFinType2__Unf,onehot_categorical,uint8,2,2
260,Heating__Floor,onehot_categorical,uint8,2,1
261,Heating__GasA,onehot_categorical,uint8,2,2
262,Heating__GasW,onehot_categorical,uint8,2,2
263,Heating__Grav,onehot_categorical,uint8,2,2
264,Heating__OthW,onehot_categorical,uint8,2,1
265,Heating__Wall,onehot_categorical,uint8,2,2
266,HeatingQC__Ex,onehot_categorical,uint8,2,2
267,HeatingQC__Fa,onehot_categorical,uint8,2,2
268,HeatingQC__Gd,onehot_categorical,uint8,2,2
269,HeatingQC__Po,onehot_categorical,uint8,2,2
270,HeatingQC__TA,onehot_categorical,uint8,2,2
271,CentralAir__N,onehot_categorical,uint8,2,2
272,CentralAir__Y,onehot_categorical,uint8,2,2
273,Electrical__FuseA,onehot_categorical,uint8,2,2
274,Electrical__FuseF,onehot_categorical,uint8,2,2
275,Electrical__FuseP,onehot_categorical,uint8,2,2
276,Electrical__Mix,onehot_categorical,uint8,2,1
277,Electrical__SBrkr,onehot_categorical,uint8,2,2
278,KitchenQual__Ex,onehot_categorical,uint8,2,2
279,KitchenQual__Fa,onehot_categorical,uint8,2,2
280,KitchenQual__Gd,onehot_categorical,uint8,2,2
281,KitchenQual__TA,onehot_categorical,uint8,2,2
282,Functional__Maj1,onehot_categorical,uint8,2,2
283,Functional__Maj2,onehot_categorical,uint8,2,2
284,Functional__Min1,onehot_categorical,uint8,2,2
285,Functional__Min2,onehot_categorical,uint8,2,2
286,Functional__Mod,onehot_categorical,uint8,2,2
287,Functional__Sev,onehot_categorical,uint8,2,2
288,Functional__Typ,onehot_categorical,uint8,2,2
289,FireplaceQu__Ex,onehot_categorical,uint8,2,2
290,FireplaceQu__Fa,onehot_categorical,uint8,2,2
291,FireplaceQu__Gd,onehot_categorical,uint8,2,2
292,FireplaceQu__NoFeature,onehot_categorical,uint8,2,2
293,FireplaceQu__Po,onehot_categorical,uint8,2,2
294,FireplaceQu__TA,onehot_categorical,uint8,2,2
295,GarageType__2Types,onehot_categorical,uint8,2,2
296,GarageType__Attchd,onehot_categorical,uint8,2,2
297,GarageType__Basment,onehot_categorical,uint8,2,2
298,GarageType__BuiltIn,onehot_categorical,uint8,2,2
299,GarageType__CarPort,onehot_categorical,uint8,2,2
300,GarageType__Detchd,onehot_categorical,uint8,2,2
301,GarageType__NoFeature,onehot_categorical,uint8,2,2
302,GarageFinish__Fin,onehot_categorical,uint8,2,2
303,GarageFinish__NoFeature,onehot_categorical,uint8,2,2
304,GarageFinish__RFn,onehot_categorical,uint8,2,2
305,GarageFinish__Unf,onehot_categorical,uint8,2,2
306,GarageQual__Ex,onehot_categorical,uint8,2,1
307,GarageQual__Fa,onehot_categorical,uint8,2,2
308,GarageQual__Gd,onehot_categorical,uint8,2,2
309,GarageQual__NoFeature,onehot_categorical,uint8,2,2
310,GarageQual__Po,onehot_categorical,uint8,2,2
311,GarageQual__TA,onehot_categorical,uint8,2,2
312,GarageCond__Ex,onehot_categorical,uint8,2,2
313,GarageCond__Fa,onehot_categorical,uint8,2,2
314,GarageCond__Gd,onehot_categorical,uint8,2,2
315,GarageCond__NoFeature,onehot_categorical,uint8,2,2
316,GarageCond__Po,onehot_categorical,uint8,2,2
317,GarageCond__TA,onehot_categorical,uint8,2,2
318,PavedDrive__N,onehot_categorical,uint8,2,2
319,PavedDrive__P,onehot_categorical,uint8,2,2
320,PavedDrive__Y,onehot_categorical,uint8,2,2
321,PoolQC__Ex,onehot_categorical,uint8,2,2
322,PoolQC__Fa,onehot_categorical,uint8,2,1
323,PoolQC__Gd,onehot_categorical,uint8,2,2
324,PoolQC__NoFeature,onehot_categorical,uint8,2,2
325,Fence__GdPrv,onehot_categorical,uint8,2,2
326,Fence__GdWo,onehot_categorical,uint8,2,2
327,Fence__MnPrv,onehot_categorical,uint8,2,2
328,Fence__MnWw,onehot_categorical,uint8,2,2
329,Fence__NoFeature,onehot_categorical,uint8,2,2
330,MiscFeature__NoFeature,onehot_categorical,uint8,2,2
331,MiscFeature__Rare,onehot_categorical,uint8,2,2
332,MiscFeature__Shed,onehot_categorical,uint8,2,2
333,SaleType__COD,onehot_categorical,uint8,2,2
334,SaleType__New,onehot_categorical,uint8,2,2
335,SaleType__Rare,onehot_categorical,uint8,2,2
336,SaleType__WD,onehot_categorical,uint8,2,2
337,SaleCondition__Abnorml,onehot_categorical,uint8,2,2
338,SaleCondition__Alloca,onehot_categorical,uint8,2,2
339,SaleCondition__Family,onehot_categorical,uint8,2,2
340,SaleCondition__Normal,onehot_categorical,uint8,2,2
341,SaleCondition__Partial,onehot_categorical,uint8,2,2
342,SaleCondition__Rare,onehot_categorical,uint8,2,2
