LotShape,LotShape_score,count,mean,median,std,min,max,feature_name,LandSlope,LandSlope_score,OverallQual,OverallQual_score,OverallCond,OverallCond_score,ExterQual,ExterQual_score,ExterCond,ExterCond_score,BsmtQual,BsmtQual_score,BsmtCond,BsmtCond_score,BsmtExposure,BsmtExposure_score,BsmtFinType1,BsmtFinType1_score,BsmtFinType2,BsmtFinType2_score,HeatingQC,HeatingQC_score,KitchenQual,KitchenQual_score,Functional,Functional_score,FireplaceQu,FireplaceQu_score,GarageFinish,GarageFinish_score,GarageQual,GarageQual_score,GarageCond,GarageCond_score,PavedDrive,PavedDrive_score,PoolQC,PoolQC_score,Fence,Fence_score
,,397,133523.35,133000.0,27107.33,55993,228950,OverallQual,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,374,161603.03,160000.0,36090.18,76000,277000,OverallQual,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,319,207716.42,200141.0,44466.26,82500,383970,OverallQual,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,168,274735.54,269750.0,63898.9,122000,538000,OverallQual,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,43,367513.02,345000.0,81278.17,239000,611657,OverallQual,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,438588.39,432390.0,159785.49,160000,755000,OverallQual,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,61000.0,61000.0,,61000,61000,OverallCond,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,141986.4,85000.0,141342.81,67000,394432,OverallCond,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,101929.4,89500.0,44852.49,35311,200624,OverallCond,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,57,120438.44,115000.0,38922.53,40000,235000,OverallCond,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,821,203146.91,185000.0,85117.32,34900,745000,OverallCond,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,252,153961.59,142750.0,60737.97,37900,755000,OverallCond,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,205,158145.49,145000.0,53468.19,79900,402000,OverallCond,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,72,155651.74,142500.0,52375.14,84500,335000,OverallCond,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,216004.55,176200.0,96485.97,110500,475000,OverallCond,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,87985.21,82250.0,39826.92,39300,200000,ExterQual,,,,,,,Fa,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,906,144341.31,139450.0,42471.82,34900,381000,ExterQual,,,,,,,TA,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,488,231633.51,220000.0,71188.87,52000,745000,ExterQual,,,,,,,Gd,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52,367360.96,364606.5,116401.26,160000,755000,ExterQual,,,,,,,Ex,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,76500.0,76500.0,,76500,76500,ExterCond,,,,,,,,,Po,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28,102595.14,95750.0,40094.38,39300,169500,ExterCond,,,,,,,,,Fa,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1282,184034.9,167370.0,79806.26,34900,755000,ExterCond,,,,,,,,,TA,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,146,168897.57,151250.0,72608.3,68400,625000,ExterCond,,,,,,,,,Gd,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,201333.33,161000.0,109235.22,118000,325000,ExterCond,,,,,,,,,Ex,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35,115692.03,112000.0,34469.67,61000,206900,BsmtQual,,,,,,,,,,,Fa,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,649,140759.82,135500.0,43483.27,34900,475000,BsmtQual,,,,,,,,,,,TA,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,618,202688.48,192070.0,58092.36,75500,538000,BsmtQual,,,,,,,,,,,Gd,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,121,327041.04,318000.0,113563.24,123500,755000,BsmtQual,,,,,,,,,,,Ex,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,64000.0,64000.0,4242.64,61000,67000,BsmtCond,,,,,,,,,,,,,Po,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45,121809.53,118500.0,43467.8,55000,265979,BsmtCond,,,,,,,,,,,,,Fa,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1311,183632.62,165000.0,79515.39,34900,755000,BsmtCond,,,,,,,,,,,,,TA,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65,213599.91,193879.0,72663.16,119000,465000,BsmtCond,,,,,,,,,,,,,Gd,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,953,165652.3,154000.0,60695.72,34900,501837,BsmtExposure,,,,,,,,,,,,,,,No,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,,114,192789.66,182450.0,77335.44,78000,475000,BsmtExposure,,,,,,,,,,,,,,,Mn,2.0,,,,,,,,,,,,,,,,,,,,,,,,
,,221,206643.42,185850.0,88655.5,35311,745000,BsmtExposure,,,,,,,,,,,,,,,Av,3.0,,,,,,,,,,,,,,,,,,,,,,,,
,,134,257689.81,226975.0,118923.67,61000,755000,BsmtExposure,,,,,,,,,,,,,,,Gd,4.0,,,,,,,,,,,,,,,,,,,,,,,,
,,430,170670.58,161750.0,72577.08,37900,582933,BsmtFinType1,,,,,,,,,,,,,,,,,Unf,1.0,,,,,,,,,,,,,,,,,,,,,,
,,74,151852.7,139000.0,50796.99,75500,301000,BsmtFinType1,,,,,,,,,,,,,,,,,LwQ,2.0,,,,,,,,,,,,,,,,,,,,,,
,,133,146889.25,142000.0,45190.12,34900,381000,BsmtFinType1,,,,,,,,,,,,,,,,,Rec,3.0,,,,,,,,,,,,,,,,,,,,,,
,,148,149493.66,139100.0,47327.29,35311,359100,BsmtFinType1,,,,,,,,,,,,,,,,,BLQ,4.0,,,,,,,,,,,,,,,,,,,,,,
,,220,161573.07,149250.0,50821.28,81000,538000,BsmtFinType1,,,,,,,,,,,,,,,,,ALQ,5.0,,,,,,,,,,,,,,,,,,,,,,
,,418,235413.72,213750.0,93215.61,80000,755000,BsmtFinType1,,,,,,,,,,,,,,,,,GLQ,6.0,,,,,,,,,,,,,,,,,,,,,,
,,1256,184694.69,167000.0,81275.31,34900,755000,BsmtFinType2,,,,,,,,,,,,,,,,,,,Unf,1.0,,,,,,,,,,,,,,,,,,,,
,,46,164364.13,154000.0,43255.04,88000,287000,BsmtFinType2,,,,,,,,,,,,,,,,,,,LwQ,2.0,,,,,,,,,,,,,,,,,,,,
,,54,164917.13,148750.0,59183.28,85000,402000,BsmtFinType2,,,,,,,,,,,,,,,,,,,Rec,3.0,,,,,,,,,,,,,,,,,,,,
,,33,151101.0,143000.0,41611.31,62383,271900,BsmtFinType2,,,,,,,,,,,,,,,,,,,BLQ,4.0,,,,,,,,,,,,,,,,,,,,
,,19,209942.11,174900.0,104764.74,123500,555000,BsmtFinType2,,,,,,,,,,,,,,,,,,,ALQ,5.0,,,,,,,,,,,,,,,,,,,,
,,14,180982.14,203125.0,64573.04,75500,270000,BsmtFinType2,,,,,,,,,,,,,,,,,,,GLQ,6.0,,,,,,,,,,,,,,,,,,,,
,,1,87000.0,87000.0,,87000,87000,HeatingQC,,,,,,,,,,,,,,,,,,,,,Po,1.0,,,,,,,,,,,,,,,,,,
,,49,123919.49,123500.0,50306.62,37900,235000,HeatingQC,,,,,,,,,,,,,,,,,,,,,Fa,2.0,,,,,,,,,,,,,,,,,,
,,428,142362.88,135000.0,47226.49,34900,375000,HeatingQC,,,,,,,,,,,,,,,,,,,,,TA,3.0,,,,,,,,,,,,,,,,,,
,,241,156858.87,152000.0,52923.92,52000,395000,HeatingQC,,,,,,,,,,,,,,,,,,,,,Gd,4.0,,,,,,,,,,,,,,,,,,
,,741,214914.43,194700.0,87469.7,66500,755000,HeatingQC,,,,,,,,,,,,,,,,,,,,,Ex,5.0,,,,,,,,,,,,,,,,,,
,,39,105565.21,115000.0,36004.25,39300,200000,KitchenQual,,,,,,,,,,,,,,,,,,,,,,,Fa,2.0,,,,,,,,,,,,,,,,
,,735,139962.51,137000.0,38896.28,34900,375000,KitchenQual,,,,,,,,,,,,,,,,,,,,,,,TA,3.0,,,,,,,,,,,,,,,,
,,586,212116.02,201400.0,64020.18,79000,625000,KitchenQual,,,,,,,,,,,,,,,,,,,,,,,Gd,4.0,,,,,,,,,,,,,,,,
,,100,328554.67,316750.0,120862.94,86000,755000,KitchenQual,,,,,,,,,,,,,,,,,,,,,,,Ex,5.0,,,,,,,,,,,,,,,,
,,1,129000.0,129000.0,,129000,129000,Functional,,,,,,,,,,,,,,,,,,,,,,,,,Sev,2.0,,,,,,,,,,,,,,
,,5,85800.0,85000.0,27086.9,52000,115000,Functional,,,,,,,,,,,,,,,,,,,,,,,,,Maj2,3.0,,,,,,,,,,,,,,
,,14,153948.14,140750.0,64503.78,60000,315000,Functional,,,,,,,,,,,,,,,,,,,,,,,,,Maj1,4.0,,,,,,,,,,,,,,
,,15,168393.33,137900.0,118938.67,55000,538000,Functional,,,,,,,,,,,,,,,,,,,,,,,,,Mod,5.0,,,,,,,,,,,,,,
,,34,144240.65,140000.0,41215.35,87000,316600,Functional,,,,,,,,,,,,,,,,,,,,,,,,,Min2,6.0,,,,,,,,,,,,,,
,,31,146385.48,139000.0,38089.57,82000,256000,Functional,,,,,,,,,,,,,,,,,,,,,,,,,Min1,7.0,,,,,,,,,,,,,,
,,1360,183429.15,165500.0,80017.96,34900,755000,Functional,,,,,,,,,,,,,,,,,,,,,,,,,Typ,8.0,,,,,,,,,,,,,,
,,20,129764.15,131500.0,31080.84,60000,172000,FireplaceQu,,,,,,,,,,,,,,,,,,,,,,,,,,,Po,1.0,,,,,,,,,,,,
,,33,167298.48,158000.0,34287.72,117000,262000,FireplaceQu,,,,,,,,,,,,,,,,,,,,,,,,,,,Fa,2.0,,,,,,,,,,,,
,,313,205723.49,187500.0,71367.03,82500,745000,FireplaceQu,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,3.0,,,,,,,,,,,,
,,380,226351.42,206950.0,91123.15,90350,611657,FireplaceQu,,,,,,,,,,,,,,,,,,,,,,,,,,,Gd,4.0,,,,,,,,,,,,
,,24,337712.5,314250.0,123611.47,130500,755000,FireplaceQu,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex,5.0,,,,,,,,,,,,
,,605,142156.42,135000.0,46498.53,35311,475000,GarageFinish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unf,1.0,,,,,,,,,,
,,422,202068.87,190000.0,63536.22,68400,582933,GarageFinish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RFn,2.0,,,,,,,,,,
,,352,240052.69,215000.0,96960.59,82500,755000,GarageFinish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fin,3.0,,,,,,,,,,
,,3,100166.67,96500.0,35143.75,67000,137000,GarageQual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Po,1.0,,,,,,,,
,,48,123573.35,115000.0,42971.44,64500,256000,GarageQual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fa,2.0,,,,,,,,
,,1311,187489.84,170000.0,78774.95,35311,755000,GarageQual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,3.0,,,,,,,,
,,14,215860.71,209115.0,74126.74,90350,325000,GarageQual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gd,4.0,,,,,,,,
,,3,241000.0,127500.0,202680.17,120500,475000,GarageQual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex,5.0,,,,,,,,
,,7,108500.0,108000.0,22662.38,67000,137000,GarageCond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Po,1.0,,,,,,
,,35,114654.03,114504.0,36420.9,40000,220000,GarageCond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fa,2.0,,,,,,
,,1326,187885.74,170000.0,79103.32,35311,755000,GarageCond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,3.0,,,,,,
,,9,179930.0,148000.0,64769.32,118500,302000,GarageCond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gd,4.0,,,,,,
,,2,124000.0,124000.0,4949.75,120500,127500,GarageCond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex,5.0,,,,,,
,,90,115039.12,111000.0,44352.52,34900,265979,PavedDrive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,1.0,,,,
,,30,132330.0,132250.0,33503.03,79500,215000,PavedDrive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,2.0,,,,
,,1340,186433.97,168500.0,79665.5,35311,755000,PavedDrive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,3.0,,,,
,,2,215500.0,215500.0,48790.37,181000,250000,PoolQC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fa,1.0,,
,,3,201990.0,171000.0,63441.39,160000,274970,PoolQC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gd,3.0,,
,,2,490000.0,490000.0,360624.46,235000,745000,PoolQC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex,4.0,,
,,11,134286.36,130000.0,21781.81,110000,187000,Fence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MnWw,1.0
,,54,140379.31,138750.0,53592.59,34900,381000,Fence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GdWo,2.0
,,157,148751.09,137450.0,66096.07,40000,745000,Fence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MnPrv,3.0
,,59,178927.46,167500.0,56757.24,108000,475000,Fence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GdPrv,4.0
