category,count,mean,median,std,min,max,feature_name
Blmngtn,17,194870.88,191000.0,30393.23,159895,264561,Neighborhood
Blueste,2,137500.0,137500.0,19091.88,124000,151000,Neighborhood
BrDale,16,104493.75,106000.0,14330.18,83000,125000,Neighborhood
BrkSide,58,124834.05,124300.0,40348.69,39300,223500,Neighborhood
ClearCr,28,212565.43,200250.0,50231.54,130000,328000,Neighborhood
CollgCr,150,197965.77,197200.0,51403.67,110000,424870,Neighborhood
Crawfor,51,210624.73,200624.0,68866.4,90350,392500,Neighborhood
Edwards,100,128219.7,121750.0,43208.62,58500,320000,Neighborhood
Gilbert,79,192854.51,181000.0,35986.78,141000,377500,Neighborhood
IDOTRR,37,100123.78,103000.0,33376.71,34900,169500,Neighborhood
MeadowV,17,98576.47,88000.0,23491.05,75000,151400,Neighborhood
Mitchel,49,156270.12,153500.0,36486.63,84500,271000,Neighborhood
NAmes,225,145847.08,140000.0,33075.35,87500,345000,Neighborhood
NPkVill,9,142694.44,146000.0,9377.31,127500,155000,Neighborhood
NWAmes,73,189050.07,182900.0,37172.22,82500,299800,Neighborhood
NoRidge,41,335295.32,301500.0,121412.66,190000,755000,Neighborhood
NridgHt,77,316270.62,315000.0,96392.54,154000,611657,Neighborhood
OldTown,113,128225.3,119000.0,52650.58,37900,475000,Neighborhood
SWISU,25,142591.36,139500.0,32622.92,60000,200000,Neighborhood
Sawyer,74,136793.14,135000.0,22345.13,62383,190000,Neighborhood
SawyerW,59,186555.8,179900.0,55652.0,76000,320000,Neighborhood
Somerst,86,225379.84,225500.0,56177.56,144152,423000,Neighborhood
StoneBr,25,310499.0,278000.0,112969.68,170000,556581,Neighborhood
Timber,38,242247.45,228475.0,64845.65,137500,378500,Neighborhood
Veenker,11,238772.73,218000.0,72369.32,162500,385000,Neighborhood
Artery,48,135091.67,119550.0,66226.66,66500,475000,Condition1
Feedr,81,142475.48,140000.0,42157.29,40000,244600,Condition1
Norm,1260,184495.49,166500.0,81256.98,34900,755000,Condition1
PosA,8,225875.0,212500.0,52348.93,180000,335000,Condition1
PosN,19,215184.21,200000.0,65256.54,109500,385000,Condition1
RRAe,11,138400.0,142500.0,24030.81,87000,171000,Condition1
RRAn,26,184396.62,171495.0,66177.92,79500,423000,Condition1
RRNe,2,190750.0,190750.0,5303.3,187000,194500,Condition1
RRNn,5,212400.0,214000.0,93823.24,110000,320000,Condition1
Artery,2,106500.0,106500.0,16263.46,95000,118000,Condition2
Feedr,6,121166.67,127500.0,33544.99,79500,167500,Condition2
Norm,1445,181169.41,163500.0,79337.74,34900,755000,Condition2
PosA,1,325000.0,325000.0,,325000,325000,Condition2
PosN,2,284875.0,284875.0,141598.13,184750,385000,Condition2
RRAe,1,190000.0,190000.0,,190000,190000,Condition2
RRAn,1,136905.0,136905.0,,136905,136905,Condition2
RRNn,2,96750.0,96750.0,39951.53,68500,125000,Condition2
1Fam,1220,185763.81,167900.0,82648.5,34900,755000,BldgType
2fmCon,31,128432.26,127500.0,35458.55,55000,228950,BldgType
Duplex,52,133541.08,135980.0,27833.25,82000,206300,BldgType
Twnhs,43,135911.63,137500.0,41013.22,75000,230000,BldgType
TwnhsE,114,181959.34,172200.0,60626.11,75500,392500,BldgType
1.5Fin,154,143116.74,132000.0,54277.94,37900,410000,HouseStyle
1.5Unf,14,110150.0,111250.0,19036.47,76000,139400,HouseStyle
1Story,726,175985.48,154750.0,77055.72,34900,611657,HouseStyle
2.5Fin,8,220000.0,194000.0,118211.98,104000,475000,HouseStyle
2.5Unf,11,157354.55,133900.0,63934.13,101000,325000,HouseStyle
2Story,445,210051.76,190000.0,87339.21,40000,755000,HouseStyle
SFoyer,37,135074.49,135960.0,30480.9,75500,206300,HouseStyle
SLvl,65,166703.38,164500.0,38305.16,91000,345000,HouseStyle
Flat,13,194690.0,185000.0,62522.96,82000,274970,RoofStyle
Gable,1141,171483.96,160000.0,66331.24,34900,755000,RoofStyle
Gambrel,11,148909.09,139000.0,67013.53,40000,259500,RoofStyle
Hip,286,218876.93,176500.0,111549.6,55000,745000,RoofStyle
Mansard,7,180568.43,175000.0,58057.62,100000,265979,RoofStyle
Shed,2,225000.0,225000.0,49497.47,190000,260000,RoofStyle
ClyTile,1,160000.0,160000.0,,160000,160000,RoofMatl
CompShg,1434,179803.68,162000.0,77722.39,34900,745000,RoofMatl
Membran,1,241500.0,241500.0,,241500,241500,RoofMatl
Metal,1,180000.0,180000.0,,180000,180000,RoofMatl
Roll,1,137000.0,137000.0,,137000,137000,RoofMatl
Tar&Grv,11,185406.36,167000.0,65430.14,82000,274970,RoofMatl
WdShake,5,241400.0,242000.0,36218.78,190000,287000,RoofMatl
WdShngl,6,390250.0,332500.0,206969.02,168500,755000,RoofMatl
AsbShng,20,107385.55,108000.0,33756.48,35311,165500,Exterior1st
AsphShn,1,100000.0,100000.0,,100000,100000,Exterior1st
BrkComm,2,71000.0,71000.0,15556.35,60000,82000,Exterior1st
BrkFace,50,194573.0,165750.0,82841.91,40000,430000,Exterior1st
CBlock,1,105000.0,105000.0,,105000,105000,Exterior1st
CemntBd,61,231690.66,236500.0,120575.62,75000,556581,Exterior1st
HdBoard,222,163077.45,149900.0,66305.71,83000,755000,Exterior1st
ImStucc,1,262000.0,262000.0,,262000,262000,Exterior1st
MetalSd,220,149422.18,139000.0,54776.41,62383,392000,Exterior1st
Plywood,108,175942.38,167450.0,49497.38,82500,345000,Exterior1st
Stone,2,258500.0,258500.0,40305.09,230000,287000,Exterior1st
Stucco,25,162990.0,144000.0,83307.25,58500,381000,Exterior1st
VinylSd,515,213732.9,200000.0,80646.98,37900,611657,Exterior1st
Wd Sdng,206,149841.65,138943.5,71130.45,34900,745000,Exterior1st
WdShing,26,150655.08,128700.0,72507.53,87000,385000,Exterior1st
AsbShng,20,114060.55,111000.0,42315.04,35311,225000,Exterior2nd
AsphShn,3,138000.0,139000.0,37510.0,100000,175000,Exterior2nd
Brk Cmn,7,126714.29,147000.0,38693.08,60000,155000,Exterior2nd
BrkFace,25,195818.0,160000.0,95097.55,40000,430000,Exterior2nd
CBlock,1,105000.0,105000.0,,105000,105000,Exterior2nd
CmentBd,60,230093.83,238750.0,116140.4,75000,556581,Exterior2nd
HdBoard,207,167661.57,155000.0,70061.08,83000,755000,Exterior2nd
ImStucc,10,252070.0,187600.0,193176.67,88000,745000,Exterior2nd
MetalSd,214,149803.17,138750.0,55078.6,62383,392000,Exterior2nd
Other,1,319000.0,319000.0,,319000,319000,Exterior2nd
Plywood,142,168112.39,160750.0,46955.74,76500,320000,Exterior2nd
Stone,5,158224.8,177000.0,63533.07,90000,230000,Exterior2nd
Stucco,26,155905.15,142000.0,74862.49,58500,381000,Exterior2nd
VinylSd,504,214432.46,200070.5,80708.31,37900,611657,Exterior2nd
Wd Sdng,197,148386.07,138000.0,59892.86,34900,475000,Exterior2nd
Wd Shng,38,161328.95,138225.0,88974.22,55000,538000,Exterior2nd
BrkCmn,15,146318.07,139000.0,46187.58,89471,277000,MasVnrType
BrkFace,445,204691.87,181000.0,81214.29,75000,755000,MasVnrType
Missing,872,156958.24,143125.0,61491.69,34900,745000,MasVnrType
Stone,128,265583.62,246839.0,99940.16,119000,611657,MasVnrType
BrkTil,146,132291.08,125250.0,54592.39,37900,475000,Foundation
CBlock,634,149805.71,141500.0,48295.04,34900,402861,Foundation
PConc,647,225230.44,205000.0,86865.98,78000,755000,Foundation
Slab,24,107365.62,104150.0,34213.98,39300,198500,Foundation
Stone,6,165959.17,126500.0,78557.7,102776,266500,Foundation
Wood,3,185666.67,164000.0,56695.09,143000,250000,Foundation
Floor,1,72500.0,72500.0,,72500,72500,Heating
GasA,1428,182021.2,164500.0,79262.87,34900,755000,Heating
GasW,18,166632.17,134950.0,78547.58,82000,375000,Heating
Grav,7,75271.43,79000.0,28066.57,37900,121000,Heating
OthW,2,125750.0,125750.0,5303.3,122000,129500,Heating
Wall,4,92100.0,91450.0,4509.99,87500,98000,Heating
N,95,105264.07,98000.0,40671.27,34900,265979,CentralAir
Y,1365,186186.71,168000.0,78805.21,52000,755000,CentralAir
FuseA,94,122196.89,121250.0,37511.38,34900,239000,Electrical
FuseF,27,107675.44,115000.0,30636.51,39300,169500,Electrical
FuseP,3,97333.33,82000.0,34645.83,73000,137000,Electrical
Missing,1,167500.0,167500.0,,167500,167500,Electrical
Mix,1,67000.0,67000.0,,67000,67000,Electrical
SBrkr,1334,186825.11,170000.0,79856.46,37900,755000,Electrical
2Types,6,151283.33,159000.0,34917.07,87000,186700,GarageType
Attchd,870,202892.66,185000.0,77146.62,60000,755000,GarageType
Basment,19,160570.68,148000.0,63967.28,55993,359100,GarageType
BuiltIn,88,254751.74,227500.0,102230.85,91000,582933,GarageType
CarPort,9,109962.11,108000.0,24638.18,82000,164900,GarageType
Detchd,387,134091.16,129500.0,41391.55,35311,475000,GarageType
Missing,81,103317.28,100000.0,32815.02,34900,200500,GarageType
Gar2,2,170750.0,170750.0,27223.61,151500,190000,MiscFeature
Missing,1406,182046.41,164250.0,80084.14,34900,755000,MiscFeature
Othr,2,94000.0,94000.0,55154.33,55000,133000,MiscFeature
Shed,49,151187.61,144000.0,51642.73,55993,277000,MiscFeature
TenC,1,250000.0,250000.0,,250000,250000,MiscFeature
COD,43,143973.26,139000.0,47098.29,60000,287000,SaleType
CWD,4,210600.0,188750.0,86421.49,136000,328900,SaleType
Con,2,269600.0,269600.0,76933.22,215200,324000,SaleType
ConLD,9,138780.89,140000.0,53876.56,79900,235128,SaleType
ConLI,5,200390.0,125000.0,145282.52,110000,451950,SaleType
ConLw,5,143700.0,144000.0,67291.9,60000,212000,SaleType
New,122,274945.42,247453.0,103239.58,113000,611657,SaleType
Oth,3,119850.0,116050.0,28441.04,93500,150000,SaleType
WD,1267,173401.84,158000.0,71129.69,34900,755000,SaleType
Abnorml,101,146526.62,130000.0,82796.21,34900,745000,SaleCondition
AdjLand,4,104125.0,104000.0,26135.46,81000,127500,SaleCondition
Alloca,12,167377.42,148145.0,84460.53,55993,359100,SaleCondition
Family,20,149600.0,140500.0,47820.0,82500,259000,SaleCondition
Normal,1198,175202.22,160000.0,69713.64,39300,755000,SaleCondition
Partial,125,272291.75,244600.0,103696.4,113000,611657,SaleCondition
