feature,train_missing_before,train_missing_before_pct,test_missing_before,test_missing_before_pct,train_missing_after,train_missing_after_pct,test_missing_after,test_missing_after_pct,train_missing_reduced,test_missing_reduced,missing_strategy
Street,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
LotShape,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
LandContour,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
LotConfig,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
LandSlope,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
Neighborhood,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
Condition1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
Condition2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
BldgType,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
HouseStyle,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
OverallQual,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
OverallCond,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
YearBuilt,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
YearRemodAdd,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
RoofStyle,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
RoofMatl,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
ExterQual,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
ExterCond,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
Foundation,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
Heating,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
HeatingQC,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
CentralAir,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
1stFlrSF,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
2ndFlrSF,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
LowQualFinSF,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
GrLivArea,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
FullBath,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
HalfBath,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
BedroomAbvGr,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
KitchenAbvGr,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
TotRmsAbvGrd,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
Fireplaces,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
PavedDrive,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
WoodDeckSF,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
OpenPorchSF,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
EnclosedPorch,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
3SsnPorch,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
ScreenPorch,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
PoolArea,0,0.0,0,0.0,0,0.0,0,0.0,0,0,fill with 0
MiscVal,0,0.0,0,0.0,0,0.0,0,0.0,0,0,fill with 0
MoSold,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
YrSold,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
SaleCondition,0,0.0,0,0.0,0,0.0,0,0.0,0,0,safety fallback if needed
