feature,feature_group,dtype,train_missing,test_missing,train_unique,test_unique
HasMasVnr,binary_indicator,int64,0,0,2,2
HasWoodDeck,binary_indicator,int64,0,0,2,2
HasOpenPorch,binary_indicator,int64,0,0,2,2
HasScreenPorch,binary_indicator,int64,0,0,2,2
Has3SsnPorch,binary_indicator,int64,0,0,2,2
HasMiscFeature,binary_indicator,int64,0,0,2,2
HasFence,binary_indicator,int64,0,0,2,2
HasAlley,binary_indicator,int64,0,0,2,2
ExteriorMatched,binary_indicator,int64,0,0,2,2
ExterQual_Ord,ordinal_score,float64,0,0,4,4
ExterCond_Ord,ordinal_score,float64,0,0,5,5
BsmtQual_Ord,ordinal_score,float64,0,0,5,5
BsmtCond_Ord,ordinal_score,float64,0,0,5,5
BsmtExposure_Ord,ordinal_score,float64,0,0,5,5
BsmtFinType1_Ord,ordinal_score,float64,0,0,7,7
BsmtFinType2_Ord,ordinal_score,float64,0,0,7,7
HeatingQC_Ord,ordinal_score,float64,0,0,5,5
KitchenQual_Ord,ordinal_score,float64,0,0,4,4
Functional_Ord,ordinal_score,float64,0,0,7,7
FireplaceQu_Ord,ordinal_score,float64,0,0,6,6
GarageFinish_Ord,ordinal_score,float64,0,0,4,4
GarageQual_Ord,ordinal_score,float64,0,0,6,5
GarageCond_Ord,ordinal_score,float64,0,0,6,6
PavedDrive_Ord,ordinal_score,float64,0,0,3,3
PoolQC_Ord,ordinal_score,float64,0,0,4,3
Fence_Ord,ordinal_score,float64,0,0,5,5
LotShape_Ord,ordinal_score,float64,0,0,4,4
LandSlope_Ord,ordinal_score,float64,0,0,3,3
ExteriorQualityScore,component_score,float64,0,0,7,8
KitchenQualityScore,component_score,float64,0,0,4,4
BasementQualityScore,component_score,float64,0,0,11,12
BasementFinishScore,component_score,float64,0,0,11,11
GarageQualityScore,component_score,float64,0,0,11,11
LuxuryQualityScore,component_score,float64,0,0,20,20
OverallQual_x_TotalSF,interaction_feature,int64,0,0,1166,1178
OverallQual_x_GrLivArea,interaction_feature,int64,0,0,1131,1151
OverallQual_x_TotalBath,interaction_feature,float64,0,0,36,38
KitchenQual_Ord_x_GrLivArea,interaction_feature,float64,0,0,1015,1038
ExterQual_Ord_x_GrLivArea,interaction_feature,float64,0,0,986,1015
BsmtQual_Ord_x_TotalBsmtSF,interaction_feature,float64,0,0,868,894
GarageFinish_Ord_x_GarageArea,interaction_feature,float64,0,0,597,621
GarageQual_Ord_x_GarageArea,interaction_feature,float64,0,0,466,488
MSSubClass__120,onehot_categorical,uint8,0,0,2,2
MSSubClass__160,onehot_categorical,uint8,0,0,2,2
MSSubClass__180,onehot_categorical,uint8,0,0,2,2
MSSubClass__190,onehot_categorical,uint8,0,0,2,2
MSSubClass__20,onehot_categorical,uint8,0,0,2,2
MSSubClass__30,onehot_categorical,uint8,0,0,2,2
MSSubClass__45,onehot_categorical,uint8,0,0,2,2
MSSubClass__50,onehot_categorical,uint8,0,0,2,2
MSSubClass__60,onehot_categorical,uint8,0,0,2,2
MSSubClass__70,onehot_categorical,uint8,0,0,2,2
MSSubClass__75,onehot_categorical,uint8,0,0,2,2
MSSubClass__80,onehot_categorical,uint8,0,0,2,2
MSSubClass__85,onehot_categorical,uint8,0,0,2,2
MSSubClass__90,onehot_categorical,uint8,0,0,2,2
MSSubClass__Rare,onehot_categorical,uint8,0,0,2,2
MSZoning__C (all),onehot_categorical,uint8,0,0,2,2
MSZoning__FV,onehot_categorical,uint8,0,0,2,2
MSZoning__RH,onehot_categorical,uint8,0,0,2,2
MSZoning__RL,onehot_categorical,uint8,0,0,2,2
MSZoning__RM,onehot_categorical,uint8,0,0,2,2
Street__Grvl,onehot_categorical,uint8,0,0,2,2
Street__Pave,onehot_categorical,uint8,0,0,2,2
Alley__Grvl,onehot_categorical,uint8,0,0,2,2
Alley__NoFeature,onehot_categorical,uint8,0,0,2,2
Alley__Pave,onehot_categorical,uint8,0,0,2,2
LotShape__IR1,onehot_categorical,uint8,0,0,2,2
LotShape__IR2,onehot_categorical,uint8,0,0,2,2
LotShape__IR3,onehot_categorical,uint8,0,0,2,2
LotShape__Reg,onehot_categorical,uint8,0,0,2,2
LandContour__Bnk,onehot_categorical,uint8,0,0,2,2
LandContour__HLS,onehot_categorical,uint8,0,0,2,2
LandContour__Low,onehot_categorical,uint8,0,0,2,2
LandContour__Lvl,onehot_categorical,uint8,0,0,2,2
Utilities__AllPub,onehot_categorical,uint8,0,0,2,1
Utilities__NoSeWa,onehot_categorical,uint8,0,0,2,1
LotConfig__Corner,onehot_categorical,uint8,0,0,2,2
LotConfig__CulDSac,onehot_categorical,uint8,0,0,2,2
LotConfig__FR2,onehot_categorical,uint8,0,0,2,2
LotConfig__FR3,onehot_categorical,uint8,0,0,2,2
LotConfig__Inside,onehot_categorical,uint8,0,0,2,2
LandSlope__Gtl,onehot_categorical,uint8,0,0,2,2
LandSlope__Mod,onehot_categorical,uint8,0,0,2,2
LandSlope__Sev,onehot_categorical,uint8,0,0,2,2
Neighborhood__Blmngtn,onehot_categorical,uint8,0,0,2,2
Neighborhood__BrDale,onehot_categorical,uint8,0,0,2,2
Neighborhood__BrkSide,onehot_categorical,uint8,0,0,2,2
Neighborhood__ClearCr,onehot_categorical,uint8,0,0,2,2
Neighborhood__CollgCr,onehot_categorical,uint8,0,0,2,2
Neighborhood__Crawfor,onehot_categorical,uint8,0,0,2,2
Neighborhood__Edwards,onehot_categorical,uint8,0,0,2,2
Neighborhood__Gilbert,onehot_categorical,uint8,0,0,2,2
Neighborhood__IDOTRR,onehot_categorical,uint8,0,0,2,2
Neighborhood__MeadowV,onehot_categorical,uint8,0,0,2,2
Neighborhood__Mitchel,onehot_categorical,uint8,0,0,2,2
Neighborhood__NAmes,onehot_categorical,uint8,0,0,2,2
Neighborhood__NWAmes,onehot_categorical,uint8,0,0,2,2
Neighborhood__NoRidge,onehot_categorical,uint8,0,0,2,2
Neighborhood__NridgHt,onehot_categorical,uint8,0,0,2,2
Neighborhood__OldTown,onehot_categorical,uint8,0,0,2,2
Neighborhood__Rare,onehot_categorical,uint8,0,0,2,2
Neighborhood__SWISU,onehot_categorical,uint8,0,0,2,2
Neighborhood__Sawyer,onehot_categorical,uint8,0,0,2,2
Neighborhood__SawyerW,onehot_categorical,uint8,0,0,2,2
Neighborhood__Somerst,onehot_categorical,uint8,0,0,2,2
Neighborhood__StoneBr,onehot_categorical,uint8,0,0,2,2
Neighborhood__Timber,onehot_categorical,uint8,0,0,2,2
Neighborhood__Veenker,onehot_categorical,uint8,0,0,2,2
Condition1__Artery,onehot_categorical,uint8,0,0,2,2
Condition1__Feedr,onehot_categorical,uint8,0,0,2,2
Condition1__Norm,onehot_categorical,uint8,0,0,2,2
Condition1__PosN,onehot_categorical,uint8,0,0,2,2
Condition1__RRAe,onehot_categorical,uint8,0,0,2,2
Condition1__RRAn,onehot_categorical,uint8,0,0,2,2
Condition1__Rare,onehot_categorical,uint8,0,0,2,2
Condition2__Norm,onehot_categorical,uint8,0,0,2,2
Condition2__Rare,onehot_categorical,uint8,0,0,2,2
BldgType__1Fam,onehot_categorical,uint8,0,0,2,2
BldgType__2fmCon,onehot_categorical,uint8,0,0,2,2
BldgType__Duplex,onehot_categorical,uint8,0,0,2,2
BldgType__Twnhs,onehot_categorical,uint8,0,0,2,2
BldgType__TwnhsE,onehot_categorical,uint8,0,0,2,2
HouseStyle__1.5Fin,onehot_categorical,uint8,0,0,2,2
HouseStyle__1.5Unf,onehot_categorical,uint8,0,0,2,2
HouseStyle__1Story,onehot_categorical,uint8,0,0,2,2
HouseStyle__2.5Unf,onehot_categorical,uint8,0,0,2,2
HouseStyle__2Story,onehot_categorical,uint8,0,0,2,2
HouseStyle__Rare,onehot_categorical,uint8,0,0,2,1
HouseStyle__SFoyer,onehot_categorical,uint8,0,0,2,2
HouseStyle__SLvl,onehot_categorical,uint8,0,0,2,2
RoofStyle__Flat,onehot_categorical,uint8,0,0,2,2
RoofStyle__Gable,onehot_categorical,uint8,0,0,2,2
RoofStyle__Gambrel,onehot_categorical,uint8,0,0,2,2
RoofStyle__Hip,onehot_categorical,uint8,0,0,2,2
RoofStyle__Rare,onehot_categorical,uint8,0,0,2,2
RoofMatl__CompShg,onehot_categorical,uint8,0,0,2,2
RoofMatl__Rare,onehot_categorical,uint8,0,0,2,2
RoofMatl__Tar&Grv,onehot_categorical,uint8,0,0,2,2
Exterior1st__AsbShng,onehot_categorical,uint8,0,0,2,2
Exterior1st__BrkFace,onehot_categorical,uint8,0,0,2,2
Exterior1st__CemntBd,onehot_categorical,uint8,0,0,2,2
Exterior1st__HdBoard,onehot_categorical,uint8,0,0,2,2
Exterior1st__MetalSd,onehot_categorical,uint8,0,0,2,2
Exterior1st__Plywood,onehot_categorical,uint8,0,0,2,2
Exterior1st__Rare,onehot_categorical,uint8,0,0,2,2
Exterior1st__Stucco,onehot_categorical,uint8,0,0,2,2
Exterior1st__VinylSd,onehot_categorical,uint8,0,0,2,2
Exterior1st__Wd Sdng,onehot_categorical,uint8,0,0,2,2
Exterior1st__WdShing,onehot_categorical,uint8,0,0,2,2
Exterior2nd__AsbShng,onehot_categorical,uint8,0,0,2,2
Exterior2nd__BrkFace,onehot_categorical,uint8,0,0,2,2
Exterior2nd__CmentBd,onehot_categorical,uint8,0,0,2,2
Exterior2nd__HdBoard,onehot_categorical,uint8,0,0,2,2
Exterior2nd__ImStucc,onehot_categorical,uint8,0,0,2,2
Exterior2nd__MetalSd,onehot_categorical,uint8,0,0,2,2
Exterior2nd__Plywood,onehot_categorical,uint8,0,0,2,2
Exterior2nd__Rare,onehot_categorical,uint8,0,0,2,2
Exterior2nd__Stucco,onehot_categorical,uint8,0,0,2,2
Exterior2nd__VinylSd,onehot_categorical,uint8,0,0,2,2
Exterior2nd__Wd Sdng,onehot_categorical,uint8,0,0,2,2
Exterior2nd__Wd Shng,onehot_categorical,uint8,0,0,2,2
MasVnrType__BrkCmn,onehot_categorical,uint8,0,0,2,2
MasVnrType__BrkFace,onehot_categorical,uint8,0,0,2,2
MasVnrType__NoFeature,onehot_categorical,uint8,0,0,2,2
MasVnrType__Stone,onehot_categorical,uint8,0,0,2,2
ExterQual__Ex,onehot_categorical,uint8,0,0,2,2
ExterQual__Fa,onehot_categorical,uint8,0,0,2,2
ExterQual__Gd,onehot_categorical,uint8,0,0,2,2
ExterQual__TA,onehot_categorical,uint8,0,0,2,2
ExterCond__Ex,onehot_categorical,uint8,0,0,2,2
ExterCond__Fa,onehot_categorical,uint8,0,0,2,2
ExterCond__Gd,onehot_categorical,uint8,0,0,2,2
ExterCond__Po,onehot_categorical,uint8,0,0,2,2
ExterCond__TA,onehot_categorical,uint8,0,0,2,2
Foundation__BrkTil,onehot_categorical,uint8,0,0,2,2
Foundation__CBlock,onehot_categorical,uint8,0,0,2,2
Foundation__PConc,onehot_categorical,uint8,0,0,2,2
Foundation__Slab,onehot_categorical,uint8,0,0,2,2
Foundation__Stone,onehot_categorical,uint8,0,0,2,2
Foundation__Wood,onehot_categorical,uint8,0,0,2,2
BsmtQual__Ex,onehot_categorical,uint8,0,0,2,2
BsmtQual__Fa,onehot_categorical,uint8,0,0,2,2
BsmtQual__Gd,onehot_categorical,uint8,0,0,2,2
BsmtQual__NoFeature,onehot_categorical,uint8,0,0,2,2
BsmtQual__TA,onehot_categorical,uint8,0,0,2,2
BsmtCond__Fa,onehot_categorical,uint8,0,0,2,2
BsmtCond__Gd,onehot_categorical,uint8,0,0,2,2
BsmtCond__NoFeature,onehot_categorical,uint8,0,0,2,2
BsmtCond__Po,onehot_categorical,uint8,0,0,2,2
BsmtCond__TA,onehot_categorical,uint8,0,0,2,2
BsmtExposure__Av,onehot_categorical,uint8,0,0,2,2
BsmtExposure__Gd,onehot_categorical,uint8,0,0,2,2
BsmtExposure__Mn,onehot_categorical,uint8,0,0,2,2
BsmtExposure__No,onehot_categorical,uint8,0,0,2,2
BsmtExposure__NoFeature,onehot_categorical,uint8,0,0,2,2
BsmtFinType1__ALQ,onehot_categorical,uint8,0,0,2,2
BsmtFinType1__BLQ,onehot_categorical,uint8,0,0,2,2
BsmtFinType1__GLQ,onehot_categorical,uint8,0,0,2,2
BsmtFinType1__LwQ,onehot_categorical,uint8,0,0,2,2
BsmtFinType1__NoFeature,onehot_categorical,uint8,0,0,2,2
BsmtFinType1__Rec,onehot_categorical,uint8,0,0,2,2
BsmtFinType1__Unf,onehot_categorical,uint8,0,0,2,2
BsmtFinType2__ALQ,onehot_categorical,uint8,0,0,2,2
BsmtFinType2__BLQ,onehot_categorical,uint8,0,0,2,2
BsmtFinType2__GLQ,onehot_categorical,uint8,0,0,2,2
BsmtFinType2__LwQ,onehot_categorical,uint8,0,0,2,2
BsmtFinType2__NoFeature,onehot_categorical,uint8,0,0,2,2
BsmtFinType2__Rec,onehot_categorical,uint8,0,0,2,2
BsmtFinType2__Unf,onehot_categorical,uint8,0,0,2,2
Heating__Floor,onehot_categorical,uint8,0,0,2,1
Heating__GasA,onehot_categorical,uint8,0,0,2,2
Heating__GasW,onehot_categorical,uint8,0,0,2,2
Heating__Grav,onehot_categorical,uint8,0,0,2,2
Heating__OthW,onehot_categorical,uint8,0,0,2,1
Heating__Wall,onehot_categorical,uint8,0,0,2,2
HeatingQC__Ex,onehot_categorical,uint8,0,0,2,2
HeatingQC__Fa,onehot_categorical,uint8,0,0,2,2
HeatingQC__Gd,onehot_categorical,uint8,0,0,2,2
HeatingQC__Po,onehot_categorical,uint8,0,0,2,2
HeatingQC__TA,onehot_categorical,uint8,0,0,2,2
CentralAir__N,onehot_categorical,uint8,0,0,2,2
CentralAir__Y,onehot_categorical,uint8,0,0,2,2
Electrical__FuseA,onehot_categorical,uint8,0,0,2,2
Electrical__FuseF,onehot_categorical,uint8,0,0,2,2
Electrical__FuseP,onehot_categorical,uint8,0,0,2,2
Electrical__Mix,onehot_categorical,uint8,0,0,2,1
Electrical__SBrkr,onehot_categorical,uint8,0,0,2,2
KitchenQual__Ex,onehot_categorical,uint8,0,0,2,2
KitchenQual__Fa,onehot_categorical,uint8,0,0,2,2
KitchenQual__Gd,onehot_categorical,uint8,0,0,2,2
KitchenQual__TA,onehot_categorical,uint8,0,0,2,2
Functional__Maj1,onehot_categorical,uint8,0,0,2,2
Functional__Maj2,onehot_categorical,uint8,0,0,2,2
Functional__Min1,onehot_categorical,uint8,0,0,2,2
Functional__Min2,onehot_categorical,uint8,0,0,2,2
Functional__Mod,onehot_categorical,uint8,0,0,2,2
Functional__Sev,onehot_categorical,uint8,0,0,2,2
Functional__Typ,onehot_categorical,uint8,0,0,2,2
FireplaceQu__Ex,onehot_categorical,uint8,0,0,2,2
FireplaceQu__Fa,onehot_categorical,uint8,0,0,2,2
FireplaceQu__Gd,onehot_categorical,uint8,0,0,2,2
FireplaceQu__NoFeature,onehot_categorical,uint8,0,0,2,2
FireplaceQu__Po,onehot_categorical,uint8,0,0,2,2
FireplaceQu__TA,onehot_categorical,uint8,0,0,2,2
GarageType__2Types,onehot_categorical,uint8,0,0,2,2
GarageType__Attchd,onehot_categorical,uint8,0,0,2,2
GarageType__Basment,onehot_categorical,uint8,0,0,2,2
GarageType__BuiltIn,onehot_categorical,uint8,0,0,2,2
GarageType__CarPort,onehot_categorical,uint8,0,0,2,2
GarageType__Detchd,onehot_categorical,uint8,0,0,2,2
GarageType__NoFeature,onehot_categorical,uint8,0,0,2,2
GarageFinish__Fin,onehot_categorical,uint8,0,0,2,2
GarageFinish__NoFeature,onehot_categorical,uint8,0,0,2,2
GarageFinish__RFn,onehot_categorical,uint8,0,0,2,2
GarageFinish__Unf,onehot_categorical,uint8,0,0,2,2
GarageQual__Ex,onehot_categorical,uint8,0,0,2,1
GarageQual__Fa,onehot_categorical,uint8,0,0,2,2
GarageQual__Gd,onehot_categorical,uint8,0,0,2,2
GarageQual__NoFeature,onehot_categorical,uint8,0,0,2,2
GarageQual__Po,onehot_categorical,uint8,0,0,2,2
GarageQual__TA,onehot_categorical,uint8,0,0,2,2
GarageCond__Ex,onehot_categorical,uint8,0,0,2,2
GarageCond__Fa,onehot_categorical,uint8,0,0,2,2
GarageCond__Gd,onehot_categorical,uint8,0,0,2,2
GarageCond__NoFeature,onehot_categorical,uint8,0,0,2,2
GarageCond__Po,onehot_categorical,uint8,0,0,2,2
GarageCond__TA,onehot_categorical,uint8,0,0,2,2
PavedDrive__N,onehot_categorical,uint8,0,0,2,2
PavedDrive__P,onehot_categorical,uint8,0,0,2,2
PavedDrive__Y,onehot_categorical,uint8,0,0,2,2
PoolQC__Ex,onehot_categorical,uint8,0,0,2,2
PoolQC__Fa,onehot_categorical,uint8,0,0,2,1
PoolQC__Gd,onehot_categorical,uint8,0,0,2,2
PoolQC__NoFeature,onehot_categorical,uint8,0,0,2,2
Fence__GdPrv,onehot_categorical,uint8,0,0,2,2
Fence__GdWo,onehot_categorical,uint8,0,0,2,2
Fence__MnPrv,onehot_categorical,uint8,0,0,2,2
Fence__MnWw,onehot_categorical,uint8,0,0,2,2
Fence__NoFeature,onehot_categorical,uint8,0,0,2,2
MiscFeature__NoFeature,onehot_categorical,uint8,0,0,2,2
MiscFeature__Rare,onehot_categorical,uint8,0,0,2,2
MiscFeature__Shed,onehot_categorical,uint8,0,0,2,2
SaleType__COD,onehot_categorical,uint8,0,0,2,2
SaleType__New,onehot_categorical,uint8,0,0,2,2
SaleType__Rare,onehot_categorical,uint8,0,0,2,2
SaleType__WD,onehot_categorical,uint8,0,0,2,2
SaleCondition__Abnorml,onehot_categorical,uint8,0,0,2,2
SaleCondition__Alloca,onehot_categorical,uint8,0,0,2,2
SaleCondition__Family,onehot_categorical,uint8,0,0,2,2
SaleCondition__Normal,onehot_categorical,uint8,0,0,2,2
SaleCondition__Partial,onehot_categorical,uint8,0,0,2,2
SaleCondition__Rare,onehot_categorical,uint8,0,0,2,2
