feature,train_missing,test_missing,train_missing_pct,test_missing_pct
TotalBath,0,0,0.0,0.0
HouseAge,0,0,0.0,0.0
RemodAge,0,0,0.0,0.0
IsNewHouse,0,0,0.0,0.0
IsRemodeled,0,0,0.0,0.0
HasGarageYrBlt,0,0,0.0,0.0
GarageAge,0,0,0.0,0.0
HasGarage,0,0,0.0,0.0
HasBasement,0,0,0.0,0.0
HasFireplace,0,0,0.0,0.0
HasPool,0,0,0.0,0.0
HasMasVnr,0,0,0.0,0.0
HasWoodDeck,0,0,0.0,0.0
HasOpenPorch,0,0,0.0,0.0
HasScreenPorch,0,0,0.0,0.0
Has3SsnPorch,0,0,0.0,0.0
HasMiscFeature,0,0,0.0,0.0
HasFence,0,0,0.0,0.0
HasAlley,0,0,0.0,0.0
ExteriorMatched,0,0,0.0,0.0
ExterQual_Ord,0,0,0.0,0.0
ExterCond_Ord,0,0,0.0,0.0
BsmtQual_Ord,0,0,0.0,0.0
BsmtCond_Ord,0,0,0.0,0.0
BsmtExposure_Ord,0,0,0.0,0.0
BsmtFinType1_Ord,0,0,0.0,0.0
BsmtFinType2_Ord,0,0,0.0,0.0
HeatingQC_Ord,0,0,0.0,0.0
KitchenQual_Ord,0,0,0.0,0.0
Functional_Ord,0,0,0.0,0.0
FireplaceQu_Ord,0,0,0.0,0.0
GarageFinish_Ord,0,0,0.0,0.0
GarageQual_Ord,0,0,0.0,0.0
GarageCond_Ord,0,0,0.0,0.0
PavedDrive_Ord,0,0,0.0,0.0
PoolQC_Ord,0,0,0.0,0.0
Fence_Ord,0,0,0.0,0.0
LotShape_Ord,0,0,0.0,0.0
LandSlope_Ord,0,0,0.0,0.0
ExteriorQualityScore,0,0,0.0,0.0
KitchenQualityScore,0,0,0.0,0.0
BasementQualityScore,0,0,0.0,0.0
BasementFinishScore,0,0,0.0,0.0
GarageQualityScore,0,0,0.0,0.0
LuxuryQualityScore,0,0,0.0,0.0
OverallQual_x_TotalSF,0,0,0.0,0.0
OverallQual_x_GrLivArea,0,0,0.0,0.0
OverallQual_x_TotalBath,0,0,0.0,0.0
KitchenQual_Ord_x_GrLivArea,0,0,0.0,0.0
ExterQual_Ord_x_GrLivArea,0,0,0.0,0.0
BsmtQual_Ord_x_TotalBsmtSF,0,0,0.0,0.0
GarageFinish_Ord_x_GarageArea,0,0,0.0,0.0
GarageQual_Ord_x_GarageArea,0,0,0.0,0.0
